mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	3	4/4	1	0					firstMeasure	2
2	2	4	4.0	3	4/4	1	0						3
3	3	8	4.0	3	4/4	1	0						4
4	4	12	4.0	3	4/4	1	0						5
5	5	16	4.0	3	4/4	1	0						6
6	6	20	4.0	3	4/4	1	0			double			7
7	7	24	4.0	3	4/4	1	0						8
8	8	28	4.0	3	4/4	1	0						9
9	9	32	4.0	3	4/4	1	0						10
10	10	36	4.0	3	4/4	1	0						11
11	11	40	4.0	3	4/4	1	0				line		12
12	12	44	4.0	3	4/4	1	0						13
13	13	48	4.0	3	4/4	1	0						14
14	14	52	4.0	3	4/4	1	0						15
15	15	56	4.0	3	4/4	1	0						16
16	16	60	4.0	3	4/4	1	0						17
17	17	64	4.0	3	4/4	1	0						18
18	18	68	4.0	3	4/4	1	0						19
19	19	72	4.0	3	4/4	1	0						20
20	20	76	4.0	3	4/4	1	0						21
21	21	80	4.0	3	4/4	1	0						22
22	22	84	4.0	3	4/4	1	0						23
23	23	88	4.0	3	4/4	1	0						24
24	24	92	4.0	3	4/4	1	0						25
25	25	96	4.0	3	4/4	1	0				line		26
26	26	100	4.0	3	4/4	1	0						27
27	27	104	4.0	3	4/4	1	0			double			28
28	28	108	1.5	3	3/8	3/8	0						29
29	29	219/2	1.5	3	3/8	3/8	0						30
30	30	111	1.5	3	3/8	3/8	0						31
31	31	225/2	1.5	3	3/8	3/8	0						32
32	32	114	1.5	3	3/8	3/8	0						33
33	33	231/2	1.5	3	3/8	3/8	0						34
34	34	117	1.5	3	3/8	3/8	0						35
35	35	237/2	1.5	3	3/8	3/8	0						36
36	36	120	1.5	3	3/8	3/8	0						37
37	37	243/2	1.5	3	3/8	3/8	0						38
38	38	123	1.5	3	3/8	3/8	0						39
39	39	249/2	1.5	3	3/8	3/8	0						40
40	40	126	1.5	3	3/8	3/8	0						41
41	41	255/2	1.5	3	3/8	3/8	0						42
42	42	129	1.5	3	3/8	3/8	0						43
43	43	261/2	1.5	3	3/8	3/8	0						44
44	44	132	1.5	3	3/8	3/8	0						45
45	45	267/2	1.5	3	3/8	3/8	0						46
46	46	135	1.5	3	3/8	3/8	0						47
47	47	273/2	1.5	3	3/8	3/8	0						48
48	48	138	1.5	3	3/8	3/8	0						49
49	49	279/2	1.5	3	3/8	3/8	0						50
50	50	141	1.5	3	3/8	3/8	0						51
51	51	285/2	1.5	3	3/8	3/8	0				line		52
52	52	144	1.5	3	3/8	3/8	0						53
53	53	291/2	1.5	3	3/8	3/8	0						54
54	54	147	1.5	3	3/8	3/8	0						55
55	55	297/2	1.5	3	3/8	3/8	0				line		56
56	56	150	1.5	3	3/8	3/8	0						57
57	57	303/2	1.5	3	3/8	3/8	0						58
58	58	153	1.5	3	3/8	3/8	0						59
59	59	309/2	1.5	3	3/8	3/8	0				line		60
60	60	156	1.5	3	3/8	3/8	0						61
61	61	315/2	1.5	3	3/8	3/8	0						62
62	62	159	1.5	3	3/8	3/8	0						63
63	63	321/2	1.5	3	3/8	3/8	0			double			64
64	64	162	4.125	3	4/4	33/32	0						65
65	65	1329/8	4.0	3	4/4	1	0						66
66	66	1361/8	4.0	3	4/4	1	0			double	line		67
67	67	1393/8	1.5	3	3/8	3/8	0						68
68	68	1405/8	1.5	3	3/8	3/8	0						69
69	69	1417/8	1.5	3	3/8	3/8	0						70
70	70	1429/8	1.5	3	3/8	3/8	0						71
71	71	1441/8	1.5	3	3/8	3/8	0						72
72	72	1453/8	1.5	3	3/8	3/8	0				line		73
73	73	1465/8	1.5	3	3/8	3/8	0						74
74	74	1477/8	1.5	3	3/8	3/8	0						75
75	75	1489/8	1.5	3	3/8	3/8	0						76
76	76	1501/8	1.5	3	3/8	3/8	0						77
77	77	1513/8	1.5	3	3/8	3/8	0						78
78	78	1525/8	1.5	3	3/8	3/8	0				line		79
79	79	1537/8	1.5	3	3/8	3/8	0						80
80	80	1549/8	1.5	3	3/8	3/8	0						81
81	81	1561/8	1.5	3	3/8	3/8	0						82
82	82	1573/8	1.5	3	3/8	3/8	0						83
83	83	1585/8	1.5	3	3/8	3/8	0						84
84	84	1597/8	1.5	3	3/8	3/8	0						85
85	85	1609/8	1.5	3	3/8	3/8	0						86
86	86	1621/8	1.5	3	3/8	3/8	0						87
87	87	1633/8	1.5	3	3/8	3/8	0						88
88	88	1645/8	1.5	3	3/8	3/8	0						89
89	89	1657/8	1.5	3	3/8	3/8	0						90
90	90	1669/8	1.5	3	3/8	3/8	0				line		91
91	91	1681/8	1.5	3	3/8	3/8	0						92
92	92	1693/8	1.5	3	3/8	3/8	0						93
93	93	1705/8	1.5	3	3/8	3/8	0						94
94	94	1717/8	1.5	3	3/8	3/8	0						95
95	95	1729/8	1.5	3	3/8	3/8	0						96
96	96	1741/8	1.5	3	3/8	3/8	0				line		97
97	97	1753/8	1.5	3	3/8	3/8	0						98
98	98	1765/8	1.5	3	3/8	3/8	0						99
99	99	1777/8	1.5	3	3/8	3/8	0						100
100	100	1789/8	1.5	3	3/8	3/8	0				line		101
101	101	1801/8	1.5	3	3/8	3/8	0						102
