mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	-5	6/8	3/4	0					firstMeasure	2
2	2	3	3.0	-5	6/8	3/4	0						3
3	3	6	3.0	-5	6/8	3/4	0						4
4	4	9	3.0	-5	6/8	3/4	0				line		5
5	5	12	3.0	-5	6/8	3/4	0						6
6	6	15	3.0	-5	6/8	3/4	0						7
7	7	18	3.0	-5	6/8	3/4	0						8
8	8	21	3.0	-5	6/8	3/4	0						9
9	9	24	3.0	-5	6/8	3/4	0			double	line		10
10	10	27	4.5	-5	9/8	9/8	0			double			11
11	11	63/2	3.0	-5	6/8	3/4	0						12
12	12	69/2	3.0	-5	6/8	3/4	0						13
13	13	75/2	3.0	-5	6/8	3/4	0				line		14
14	14	81/2	3.0	-5	6/8	3/4	0						15
15	15	87/2	3.0	-5	6/8	3/4	0						16
16	16	93/2	3.0	-5	6/8	3/4	0						17
17	17	99/2	3.0	-5	6/8	3/4	0						18
18	18	105/2	3.0	-5	6/8	3/4	0				page		19
19	19	111/2	3.0	-5	6/8	3/4	0						20
20	20	117/2	3.0	-5	6/8	3/4	0						21
21	21	123/2	3.0	-5	6/8	3/4	0						22
22	22	129/2	3.0	-5	6/8	3/4	0				line		23
23	23	135/2	3.0	-5	6/8	3/4	0						24
24	24	141/2	3.0	-5	6/8	3/4	0						25
25	25	147/2	3.0	-5	6/8	3/4	0				line		26
26	26	153/2	3.0	-5	6/8	3/4	0						27
27	27	159/2	3.0	-5	6/8	3/4	0						28
28	28	165/2	3.0	-5	6/8	3/4	0				line		29
29	29	171/2	3.0	-5	6/8	3/4	0						30
30	30	177/2	3.0	-5	6/8	3/4	0						31
31	31	183/2	3.0	-5	6/8	3/4	0				line		32
32	32	189/2	3.0	-5	6/8	3/4	0						33
33	33	195/2	3.0	-5	6/8	3/4	0						34
34	34	201/2	3.0	-5	6/8	3/4	0						35
35	35	207/2	3.0	-5	6/8	3/4	0				line		36
36	36	213/2	3.0	-5	6/8	3/4	0						37
37	37	219/2	3.0	-5	6/8	3/4	0						38
38	38	225/2	3.0	-5	6/8	3/4	0						39
39	39	231/2	3.0	-5	6/8	3/4	0				line		40
40	40	237/2	3.0	-5	6/8	3/4	0						41
41	41	243/2	3.0	-5	6/8	3/4	0						42
42	42	249/2	3.0	-5	6/8	3/4	0			double			43
43	43	255/2	2.0	0	6/8	1/2	0				line		44
44	44	259/2	6.5	0	6/8	13/8	-7/8						45
45	45	136	6.0	0	6/8	3/2	0						46
46	46	142	3.0	0	6/8	3/4	0			double	line		47
47	47	145	6.0	-5	6/4	3/2	0						48
48	48	151	6.0	-5	6/4	3/2	0				line		49
49	49	157	6.0	-5	6/4	3/2	0			double			50
50	50	163	9.0	-5	9/4	9/4	0			double			51
51	51	172	6.0	-5	6/4	3/2	0						52
52	52	178	6.0	-5	6/4	3/2	0				line		53
53	53	184	6.0	-5	6/4	3/2	0						54
54	54	190	6.0	-5	6/4	3/2	0						55
55	55	196	6.0	-5	6/4	3/2	0					lastMeasure	-1
