mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.08333333333333333	0	0	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	0
1	1	0	2.0	0	0	4/4	1	4	1/2		1/2	1	1	7	73	C#5	5	42
1	1	1/12	0.08333333333333333	1/48	1/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	1
1	1	1/6	0.08333333333333333	1/24	1/24	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	2
1	1	1/4	0.08333333333333333	1/16	1/16	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	3
1	1	1/3	0.08333333333333333	1/12	1/12	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	4
1	1	5/12	0.08333333333333333	5/48	5/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	5
1	1	1/2	0.08333333333333333	1/8	1/8	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	6
1	1	7/12	0.08333333333333333	7/48	7/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	7
1	1	2/3	0.08333333333333333	1/6	1/6	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	8
1	1	3/4	0.08333333333333333	3/16	3/16	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	9
1	1	5/6	0.08333333333333333	5/24	5/24	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	10
1	1	11/12	0.08333333333333333	11/48	11/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	11
1	1	1	0.08333333333333333	1/4	1/4	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	12
1	1	13/12	0.08333333333333333	13/48	13/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	13
1	1	7/6	0.08333333333333333	7/24	7/24	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	14
1	1	5/4	0.08333333333333333	5/16	5/16	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	15
1	1	4/3	0.08333333333333333	1/3	1/3	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	16
1	1	17/12	0.08333333333333333	17/48	17/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	17
1	1	3/2	0.08333333333333333	3/8	3/8	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	18
1	1	19/12	0.08333333333333333	19/48	19/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	19
1	1	5/3	0.08333333333333333	5/12	5/12	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	20
1	1	7/4	0.08333333333333333	7/16	7/16	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	21
1	1	11/6	0.08333333333333333	11/24	11/24	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	22
1	1	23/12	0.08333333333333333	23/48	23/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	23
1	1	2	0.08333333333333333	1/2	1/2	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	24
1	1	2	0.25	1/2	1/2	4/4	1	4	1/16		1/16	1	-1	7	73	C#5	5	43
1	1	25/12	0.08333333333333333	25/48	25/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	25
1	1	13/6	0.08333333333333333	13/24	13/24	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	26
1	1	9/4	0.08333333333333333	9/16	9/16	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	27
1	1	7/3	0.08333333333333333	7/12	7/12	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	28
1	1	29/12	0.08333333333333333	29/48	29/48	4/4	1	1	1/48		1/32	2/3		0	72	C5	5	29
1	1	29/12	0.08333333333333333	29/48	29/48	4/4	1	4	1/48		1/32	2/3		0	72	C5	5	44
1	1	5/2	0.125	5/8	5/8	4/4	1	1	1/32		1/32	1		5	71	B4	4	30
1	1	5/2	0.125	5/8	5/8	4/4	1	4	1/32		1/32	1		5	71	B4	4	45
1	1	21/8	0.125	21/32	21/32	4/4	1	1	1/32		1/32	1		9	75	D#5	5	31
1	1	11/4	0.125	11/16	11/16	4/4	1	1	1/32		1/32	1		1	79	G5	5	32
1	1	23/8	0.125	23/32	23/32	4/4	1	1	1/32		1/32	1		-2	70	Bb4	4	33
1	1	23/8	0.125	23/32	23/32	4/4	1	4	1/32		1/32	1		-2	70	Bb4	4	46
1	1	3	0.125	3/4	3/4	4/4	1	1	1/32		1/32	1		3	69	A4	4	34
1	1	25/8	0.125	25/32	25/32	4/4	1	1	1/32		1/32	1		7	73	C#5	5	35
1	1	13/4	0.125	13/16	13/16	4/4	1	1	1/32		1/32	1		-1	77	F5	5	36
1	1	27/8	0.125	27/32	27/32	4/4	1	1	1/32		1/32	1		-4	68	Ab4	4	37
1	1	7/2	0.125	7/8	7/8	4/4	1	1	1/32		1/32	1		1	67	G4	4	38
1	1	29/8	0.125	29/32	29/32	4/4	1	1	1/32		1/32	1		5	71	B4	4	39
1	1	15/4	0.125	15/16	15/16	4/4	1	1	1/32		1/32	1		9	75	D#5	5	40
1	1	31/8	0.125	31/32	31/32	4/4	1	1	1/32		1/32	1		1	79	G5	5	41
2	2	4	0.08333333333333333	0	0	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	47
2	2	4	2.0	0	0	4/4	1	4	1/2		1/2	1	1	7	73	C#5	5	89
2	2	49/12	0.08333333333333333	1/48	1/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	48
2	2	25/6	0.08333333333333333	1/24	1/24	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	49
2	2	17/4	0.08333333333333333	1/16	1/16	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	50
2	2	13/3	0.08333333333333333	1/12	1/12	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	51
2	2	53/12	0.08333333333333333	5/48	5/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	52
2	2	9/2	0.08333333333333333	1/8	1/8	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	53
2	2	55/12	0.08333333333333333	7/48	7/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	54
2	2	14/3	0.08333333333333333	1/6	1/6	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	55
2	2	19/4	0.08333333333333333	3/16	3/16	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	56
2	2	29/6	0.08333333333333333	5/24	5/24	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	57
2	2	59/12	0.08333333333333333	11/48	11/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	58
2	2	5	0.08333333333333333	1/4	1/4	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	59
2	2	61/12	0.08333333333333333	13/48	13/48	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	60
2	2	31/6	0.08333333333333333	7/24	7/24	4/4	1	1	1/48		1/32	2/3		7	73	C#5	5	61
2	2	21/4	0.08333333333333333	5/16	5/16	4/4	1	1	1/48		1/32	2/3		9	75	D#5	5	62
