quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	2.0	1	1	0	0	4/4	2	1	1/2		1/2	1	1	5	59	4
0	4.0	1	1	0	0	4/4	1	3	1		1	1		2	62	3
1	1.0	1	1	1/4	1/4	4/4	1	2	1/4		1/4	1		3	69	1
1	3.0	1	1	1/4	1/4	4/4	1	1	3/4		1/2	3/2		2	74	0
2	0.5	1	1	1/2	1/2	4/4	2	1	1/8		1/8	1	-1	5	59	5
2	2.0	1	1	1/2	1/2	4/4	1	2	1/2		1/2	1		1	67	2
5/2	0.5	1	1	5/8	5/8	4/4	2	1	1/8		1/8	1		0	60	6
3	0.0	1	1	3/4	3/4	4/4	2	1	0	grace16	1/16	2/3		5	59	7
3	0.0	1	1	3/4	3/4	4/4	2	1	0	grace16	1/16	2/3		0	60	8
3	0.3333333333333333	1	1	3/4	3/4	4/4	2	1	1/12		1/8	2/3		5	59	9
10/3	0.3333333333333333	1	1	5/6	5/6	4/4	2	1	1/12		1/8	2/3		0	60	10
11/3	0.3333333333333333	1	1	11/12	11/12	4/4	2	1	1/12		1/8	2/3		5	59	11
4	2.0	2	2	0	0	4/4	2	1	1/2		1/2	1	1	-2	58	16
4	4.0	2	2	0	0	4/4	1	3	1		1	1		2	62	15
5	1.0	2	2	1/4	1/4	4/4	1	2	1/4		1/4	1		3	69	13
5	3.0	2	2	1/4	1/4	4/4	1	1	3/4		1/2	3/2		2	74	12
6	0.5	2	2	1/2	1/2	4/4	2	1	1/8		1/8	1	-1	-2	58	17
6	2.0	2	2	1/2	1/2	4/4	1	2	1/2		1/2	1		1	67	14
13/2	0.5	2	2	5/8	5/8	4/4	2	1	1/8		1/8	1		0	60	18
7	0.0	2	2	3/4	3/4	4/4	2	1	0	grace16	1/16	2/3		-2	58	19
7	0.0	2	2	3/4	3/4	4/4	2	1	0	grace16	1/16	2/3		0	60	20
7	0.3333333333333333	2	2	3/4	3/4	4/4	2	1	1/12		1/8	2/3		-2	58	21
22/3	0.3333333333333333	2	2	5/6	5/6	4/4	2	1	1/12		1/8	2/3		3	57	22
23/3	0.3333333333333333	2	2	11/12	11/12	4/4	2	1	1/12		1/8	2/3	1	1	55	23
8	0.3333333333333333	3	3	0	0	4/4	2	1	1/12		1/8	2/3	-1	1	55	25
8	4.0	3	3	0	0	4/4	1	1	1		1	1		2	62	24
8	4.0	3	3	0	0	4/4	1	1	1		1	1		3	69	24
8	4.0	3	3	0	0	4/4	1	1	1		1	1		2	74	24
25/3	0.3333333333333333	3	3	1/12	1/12	4/4	2	1	1/12		1/8	2/3		-1	53	26
26/3	0.3333333333333333	3	3	1/6	1/6	4/4	2	1	1/12		1/8	2/3		2	50	27
9	0.5	3	3	1/4	1/4	4/4	2	1	1/8		1/8	1		0	48	28
19/2	0.5	3	3	3/8	3/8	4/4	2	1	1/8		1/8	1		2	50	29
10	0.3333333333333333	3	3	1/2	1/2	4/4	2	1	1/12		1/8	2/3		3	45	30
31/3	0.3333333333333333	3	3	7/12	7/12	4/4	2	1	1/12		1/8	2/3		0	48	31
32/3	0.3333333333333333	3	3	2/3	2/3	4/4	2	1	1/12		1/8	2/3	1	2	50	32
11	0.3333333333333333	3	3	3/4	3/4	4/4	2	1	1/12		1/8	2/3	-1	2	50	33
34/3	0.3333333333333333	3	3	5/6	5/6	4/4	2	1	1/12		1/8	2/3		-1	53	34
35/3	0.3333333333333333	3	3	11/12	11/12	4/4	2	1	1/12		1/8	2/3		3	57	35
12	0.3333333333333333	4	4	0	0	4/4	2	1	1/12		1/8	2/3		1	55	37
12	3.0	4	4	0	0	4/4	1	1	3/4		1/2	3/2		3	57	36
12	3.0	4	4	0	0	4/4	1	1	3/4		1/2	3/2		2	62	36
12	3.0	4	4	0	0	4/4	1	1	3/4		1/2	3/2		3	69	36
37/3	0.3333333333333333	4	4	1/12	1/12	4/4	2	1	1/12		1/8	2/3		-1	53	38
38/3	0.3333333333333333	4	4	1/6	1/6	4/4	2	1	1/12		1/8	2/3		2	50	39
13	0.5	4	4	1/4	1/4	4/4	2	1	1/8		1/8	1		0	48	40
27/2	0.5	4	4	3/8	3/8	4/4	2	1	1/8		1/8	1	1	2	50	41
14	0.3333333333333333	4	4	1/2	1/2	4/4	2	1	1/12		1/8	2/3	-1	2	50	42
43/3	0.3333333333333333	4	4	7/12	7/12	4/4	2	1	1/12		1/8	2/3		4	52	43
44/3	0.0	4	4	2/3	2/3	4/4	2	1	0	grace16	1/16	2/3		2	50	44
44/3	0.0	4	4	2/3	2/3	4/4	2	1	0	grace16	1/16	2/3		4	52	45
44/3	0.3333333333333333	4	4	2/3	2/3	4/4	2	1	1/12		1/8	2/3		2	50	46
15	0.3333333333333333	4	4	3/4	3/4	4/4	2	1	1/12		1/8	2/3		0	48	47
46/3	0.3333333333333333	4	4	5/6	5/6	4/4	2	1	1/12		1/8	2/3		3	45	48
47/3	0.3333333333333333	4	4	11/12	11/12	4/4	2	1	1/12		1/8	2/3		1	43	49
16	2.0	5	5	0	0	4/4	2	1	1/2		1/2	1		3	45	58
33/2	0.5	5	5	1/8	1/8	4/4	1	1	1/8		1/8	1		-1	65	50
17	1.0	5	5	1/4	1/4	4/4	1	2	1/4		1/4	1		-1	53	56
17	1.0	5	5	1/4	1/4	4/4	1	2	1/4		1/4	1		0	60	56
17	0.3333333333333333	5	5	1/4	1/4	4/4	1	1	1/12		1/8	2/3		-1	65	51
52/3	0.3333333333333333	5	5	1/3	1/3	4/4	1	1	1/12		1/8	2/3		1	67	52
53/3	0.3333333333333333	5	5	5/12	5/12	4/4	1	1	1/12		1/8	2/3		4	64	53
18	2.0	5	5	1/2	1/2	4/4	2	1	1/2		1/2	1		-4	44	59
37/2	0.5	5	5	5/8	5/8	4/4	1	1	1/8		1/8	1		2	62	54
19	1.0	5	5	3/4	3/4	4/4	1	2	1/4		1/4	1		-1	53	57
19	1.0	5	5	3/4	3/4	4/4	1	2	1/4		1/4	1		-2	58	57
19	1.0	5	5	3/4	3/4	4/4	1	1	1/4		1/4	1		4	64	55
20	1.0	6	6	0	0	4/4	2	1	1/4		1/4	1		1	43	68
20	1.0	6	6	0	0	4/4	1	2	1/4		1/4	1		-1	53	66
41/2	0.5	6	6	1/8	1/8	4/4	1	1	1/8		1/8	1		5	59	60
41/2	0.5	6	6	1/8	1/8	4/4	1	1	1/8		1/8	1		2	62	60
21	0.125	6	6	1/4	1/4	4/4	2	1	1/32		1/32	1		6	42	69
21	3.0	6	6	1/4	1/4	4/4	1	2	3/4		1/2	3/2		4	52	67
21	0.25	6	6	1/4	1/4	4/4	1	1	1/16		1/16	1		-2	58	61
21	0.25	6	6	1/4	1/4	4/4	1	1	1/16		1/16	1		2	62	61
169/8	0.125	6	6	9/32	9/32	4/4	2	1	1/32		1/32	1		3	45	70
85/4	0.125	6	6	5/16	5/16	4/4	2	1	1/32		1/32	1		-4	44	71
85/4	0.25	6	6	5/16	5/16	4/4	1	1	1/16		1/16	1	1	0	60	62
85/4	0.25	6	6	5/16	5/16	4/4	1	1	1/16		1/16	1	1	4	64	62
171/8	0.125	6	6	11/32	11/32	4/4	2	1	1/32		1/32	1		1	43	72
43/2	0.5	6	6	3/8	3/8	4/4	2	1	1/8		1/8	1	1	6	42	73
43/2	0.5	6	6	3/8	3/8	4/4	1	1	1/8		1/8	1	0	0	60	63
43/2	0.5	6	6	3/8	3/8	4/4	1	1	1/8		1/8	1	0	4	64	63
22	1.0	6	6	1/2	1/2	4/4	2	1	1/4		1/4	1	-1	6	42	74
22	1.0	6	6	1/2	1/2	4/4	1	1	1/4		1/4	1	-1	0	60	64
22	1.0	6	6	1/2	1/2	4/4	1	1	1/4		1/4	1	-1	4	64	64
23	0.5	6	6	3/4	3/4	4/4	2	1	1/8		1/8	1		3	45	75
23	1.0	6	6	3/4	3/4	4/4	1	1	1/4		1/4	1		-2	58	65
23	1.0	6	6	3/4	3/4	4/4	1	1	1/4		1/4	1		2	62	65
47/2	0.5	6	6	7/8	7/8	4/4	2	1	1/8		1/8	1		-4	44	76
24	1.0	7	7	0	0	4/4	2	1	1/4		1/4	1		1	43	85
24	1.0	7	7	0	0	4/4	1	2	1/4		1/4	1		-1	53	83
49/2	0.5	7	7	1/8	1/8	4/4	1	1	1/8		1/8	1		5	59	77
49/2	0.5	7	7	1/8	1/8	4/4	1	1	1/8		1/8	1		2	62	77
25	0.125	7	7	1/4	1/4	4/4	2	1	1/32		1/32	1		6	42	86
25	3.0	7	7	1/4	1/4	4/4	1	2	3/4		1/2	3/2		4	52	84
25	0.25	7	7	1/4	1/4	4/4	1	1	1/16		1/16	1		-2	58	78
25	0.25	7	7	1/4	1/4	4/4	1	1	1/16		1/16	1		2	62	78
201/8	0.125	7	7	9/32	9/32	4/4	2	1	1/32		1/32	1		3	45	87
101/4	0.125	7	7	5/16	5/16	4/4	2	1	1/32		1/32	1		-4	44	88
101/4	0.25	7	7	5/16	5/16	4/4	1	1	1/16		1/16	1	1	0	60	79
101/4	0.25	7	7	5/16	5/16	4/4	1	1	1/16		1/16	1	1	4	64	79
203/8	0.125	7	7	11/32	11/32	4/4	2	1	1/32		1/32	1		1	43	89
