mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	2/2	3	1	1/4		1/4	1		-2	34	Bb1	1	4
1	1	0	1.0	0	0	2/2	2	1	1/4		1/4	1		-2	46	Bb2	2	0
1	1	1	1.0	1/4	1/4	2/2	3	1	1/4		1/4	1		-4	32	Ab1	1	5
1	1	1	1.0	1/4	1/4	2/2	2	1	1/4		1/4	1		-4	44	Ab2	2	1
1	1	2	1.0	1/2	1/2	2/2	3	1	1/4		1/4	1		-1	29	F1	1	6
1	1	2	1.0	1/2	1/2	2/2	2	1	1/4		1/4	1		-1	41	F2	2	2
1	1	3	1.0	3/4	3/4	2/2	3	1	1/4		1/4	1		-4	32	Ab1	1	7
1	1	3	1.0	3/4	3/4	2/2	2	1	1/4		1/4	1		-4	44	Ab2	2	3
2	2	4	1.0	0	0	2/2	3	1	1/4		1/4	1		-7	35	Cb2	2	12
2	2	4	1.0	0	0	2/2	2	1	1/4		1/4	1		-7	47	Cb3	3	8
2	2	5	1.0	1/4	1/4	2/2	3	1	1/4		1/4	1		-5	37	Db2	2	13
2	2	5	1.0	1/4	1/4	2/2	2	1	1/4		1/4	1		-5	49	Db3	3	9
2	2	6	1.0	1/2	1/2	2/2	3	1	1/4		1/4	1		-3	39	Eb2	2	14
2	2	6	1.0	1/2	1/2	2/2	2	1	1/4		1/4	1		-3	51	Eb3	3	10
2	2	7	1.0	3/4	3/4	2/2	3	1	1/4		1/4	1		-7	35	Cb2	2	15
2	2	7	1.0	3/4	3/4	2/2	2	1	1/4		1/4	1		-7	47	Cb3	3	11
3	3	8	1.0	0	0	2/2	3	1	1/4		1/4	1		-1	41	F2	2	21
3	3	8	1.0	0	0	2/2	2	1	1/4		1/4	1		-1	53	F3	3	16
3	3	9	0.5	1/4	1/4	2/2	3	1	1/8		1/8	1		-3	39	Eb2	2	22
3	3	9	0.5	1/4	1/4	2/2	2	1	1/8		1/8	1		-3	51	Eb3	3	17
3	3	19/2	0.5	3/8	3/8	2/2	3	1	1/8		1/8	1		-3	39	Eb2	2	23
3	3	19/2	0.5	3/8	3/8	2/2	2	1	1/8		1/8	1		-3	51	Eb3	3	18
3	3	10	1.0	1/2	1/2	2/2	3	1	1/4		1/4	1		-7	35	Cb2	2	24
3	3	10	1.0	1/2	1/2	2/2	2	1	1/4		1/4	1		-7	47	Cb3	3	19
3	3	11	1.0	3/4	3/4	2/2	3	1	1/4		1/4	1		-6	42	Gb2	2	25
3	3	11	1.0	3/4	3/4	2/2	2	1	1/4		1/4	1		-6	54	Gb3	3	20
4	4	12	1.0	0	0	2/2	3	1	1/4		1/4	1		-1	41	F2	2	31
4	4	12	1.0	0	0	2/2	2	1	1/4		1/4	1		-1	53	F3	3	26
4	4	13	0.5	1/4	1/4	2/2	3	1	1/8		1/8	1		-3	39	Eb2	2	32
4	4	13	0.5	1/4	1/4	2/2	2	1	1/8		1/8	1		-3	51	Eb3	3	27
4	4	27/2	0.5	3/8	3/8	2/2	3	1	1/8		1/8	1		-3	39	Eb2	2	33
4	4	27/2	0.5	3/8	3/8	2/2	2	1	1/8		1/8	1		-3	51	Eb3	3	28
4	4	14	1.0	1/2	1/2	2/2	3	1	1/4		1/4	1		-4	44	Ab2	2	34
4	4	14	1.0	1/2	1/2	2/2	2	1	1/4		1/4	1		-4	56	Ab3	3	29
4	4	15	1.0	3/4	3/4	2/2	3	1	1/4		1/4	1		-2	46	Bb2	2	35
4	4	15	1.0	3/4	3/4	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	30
5	5	16	1.0	0	0	2/2	3	2	1/4		1/4	1		-6	42	Gb2	2	44
5	5	16	2.0	0	0	2/2	3	1	1/2		1/2	1		-4	44	Ab2	2	42
5	5	16	1.0	0	0	2/2	2	2	1/4		1/4	1		-6	54	Gb3	3	38
5	5	16	2.0	0	0	2/2	2	1	1/2		1/2	1		-4	56	Ab3	3	36
5	5	17	1.0	1/4	1/4	2/2	3	2	1/4		1/4	1		-1	41	F2	2	45
5	5	17	1.0	1/4	1/4	2/2	2	2	1/4		1/4	1		-1	53	F3	3	39
5	5	18	1.0	1/2	1/2	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	46
5	5	18	2.0	1/2	1/2	2/2	3	1	1/2		1/2	1		-1	41	F2	2	43
5	5	18	1.0	1/2	1/2	2/2	2	2	1/4		1/4	1		-3	51	Eb3	3	40
5	5	18	2.0	1/2	1/2	2/2	2	1	1/2		1/2	1		-1	53	F3	3	37
5	5	19	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1	1	-7	35	Cb2	2	47
5	5	19	1.0	3/4	3/4	2/2	2	2	1/4		1/4	1	1	-7	47	Cb3	3	41
6	6	20	1.0	0	0	2/2	3	2	1/4		1/4	1	-1	-7	35	Cb2	2	55
6	6	20	2.0	0	0	2/2	3	1	1/2		1/2	1		-6	42	Gb2	2	53
6	6	20	1.0	0	0	2/2	2	2	1/4		1/4	1	-1	-7	47	Cb3	3	50
6	6	20	2.0	0	0	2/2	2	1	1/2		1/2	1		-6	54	Gb3	3	48
6	6	21	2.0	1/4	1/4	2/2	3	2	1/2		1/2	1		-5	37	Db2	2	56
6	6	21	2.0	1/4	1/4	2/2	2	2	1/2		1/2	1		-5	49	Db3	3	51
6	6	22	2.0	1/2	1/2	2/2	3	1	1/2		1/2	1		-1	41	F2	2	54
6	6	22	2.0	1/2	1/2	2/2	2	1	1/2		1/2	1		-1	53	F3	3	49
6	6	23	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	57
6	6	23	1.0	3/4	3/4	2/2	2	2	1/4		1/4	1		-3	51	Eb3	3	52
7	7	24	1.0	0	0	2/2	3	2	1/4		1/4	1		-6	42	Gb2	2	66
7	7	24	2.0	0	0	2/2	3	1	1/2		1/2	1		-4	44	Ab2	2	64
7	7	24	1.0	0	0	2/2	2	2	1/4		1/4	1		-6	54	Gb3	3	60
7	7	24	2.0	0	0	2/2	2	1	1/2		1/2	1		-4	56	Ab3	3	58
7	7	25	1.0	1/4	1/4	2/2	3	2	1/4		1/4	1		-1	41	F2	2	67
7	7	25	1.0	1/4	1/4	2/2	2	2	1/4		1/4	1		-1	53	F3	3	61
7	7	26	1.0	1/2	1/2	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	68
7	7	26	2.0	1/2	1/2	2/2	3	1	1/2		1/2	1		-1	41	F2	2	65
7	7	26	1.0	1/2	1/2	2/2	2	2	1/4		1/4	1		-3	51	Eb3	3	62
7	7	26	2.0	1/2	1/2	2/2	2	1	1/2		1/2	1		-1	53	F3	3	59
7	7	27	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1	1	-7	35	Cb2	2	69
7	7	27	1.0	3/4	3/4	2/2	2	2	1/4		1/4	1	1	-7	47	Cb3	3	63
8	8	28	1.0	0	0	2/2	3	2	1/4		1/4	1	-1	-7	35	Cb2	2	77
8	8	28	2.0	0	0	2/2	3	1	1/2		1/2	1		-6	42	Gb2	2	75
8	8	28	1.0	0	0	2/2	2	2	1/4		1/4	1	-1	-7	47	Cb3	3	72
8	8	28	2.0	0	0	2/2	2	1	1/2		1/2	1		-6	54	Gb3	3	70
8	8	29	2.0	1/4	1/4	2/2	3	2	1/2		1/2	1		-5	37	Db2	2	78
8	8	29	2.0	1/4	1/4	2/2	2	2	1/2		1/2	1		-5	49	Db3	3	73
8	8	30	2.0	1/2	1/2	2/2	3	1	1/2		1/2	1		-3	39	Eb2	2	76
8	8	30	2.0	1/2	1/2	2/2	2	1	1/2		1/2	1		-3	51	Eb3	3	71
8	8	31	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1		-7	35	Cb2	2	79
8	8	31	1.0	3/4	3/4	2/2	2	2	1/4		1/4	1		-7	47	Cb3	3	74
9	9	32	1.0	0	0	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	81
9	9	32	4.0	0	0	2/2	3	1	1		1	1		-2	46	Bb2	2	80
9	9	33	2.0	1/4	1/4	2/2	3	2	1/2		1/2	1		-2	34	Bb1	1	82
9	9	35	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	83
10	10	36	1.0	0	0	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	85
10	10	36	4.0	0	0	2/2	3	1	1		1	1		-2	46	Bb2	2	84
10	10	37	2.0	1/4	1/4	2/2	3	2	1/2		1/2	1		-2	34	Bb1	1	86
10	10	39	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	87
11	11	40	1.0	0	0	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	96
11	11	40	4.0	0	0	2/2	3	1	1		1	1		-2	46	Bb2	2	95
11	11	40	1.0	0	0	2/2	2	1	1/4		1/4	1		-4	56	Ab3	3	91
11	11	40	1.0	0	0	2/2	2	1	1/4		1/4	1		-7	59	Cb4	4	91
11	11	40	1.0	0	0	2/2	1	1	1/4		1/4	1		-1	65	F4	4	88
11	11	41	1.0	1/4	1/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	97
11	11	41	1.0	1/4	1/4	2/2	2	1	1/4		1/4	1		-6	54	Gb3	3	92
11	11	41	1.0	1/4	1/4	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	92
11	11	41	1.0	1/4	1/4	2/2	1	1	1/4		1/4	1		-3	63	Eb4	4	89
11	11	42	1.0	1/2	1/2	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	98
11	11	42	1.0	1/2	1/2	2/2	2	1	1/4		1/4	1		-5	49	Db3	3	93
11	11	42	1.0	1/2	1/2	2/2	2	1	1/4		1/4	1		-1	53	F3	3	93
11	11	42	1.0	1/2	1/2	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	93
11	11	43	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	99
11	11	43	1.0	3/4	3/4	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	94
11	11	43	1.0	3/4	3/4	2/2	1	1	1/4		1/4	1		-5	61	Db4	4	90
11	11	43	1.0	3/4	3/4	2/2	1	1	1/4		1/4	1		-6	66	Gb4	4	90
12	12	44	1.0	0	0	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	110
12	12	44	4.0	0	0	2/2	3	1	1		1	1		-2	46	Bb2	2	109
12	12	44	1.0	0	0	2/2	2	1	1/4		1/4	1		-4	56	Ab3	3	103
12	12	44	1.0	0	0	2/2	2	1	1/4		1/4	1		-7	59	Cb4	4	103
12	12	44	1.0	0	0	2/2	1	1	1/4		1/4	1		-1	65	F4	4	100
12	12	45	1.0	1/4	1/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	111
12	12	45	0.5	1/4	1/4	2/2	2	1	1/8		1/8	1		-6	54	Gb3	3	104
12	12	45	0.5	1/4	1/4	2/2	2	1	1/8		1/8	1		-2	58	Bb3	3	104
12	12	45	0.5	1/4	1/4	2/2	1	1	1/8		1/8	1		-3	63	Eb4	4	101
12	12	91/2	0.5	3/8	3/8	2/2	2	1	1/8		1/8	1		-1	53	F3	3	105
12	12	91/2	0.5	3/8	3/8	2/2	2	1	1/8		1/8	1		-4	56	Ab3	3	105
12	12	91/2	0.5	3/8	3/8	2/2	1	1	1/8		1/8	1		-5	61	Db4	4	102
12	12	46	1.0	1/2	1/2	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	112
12	12	46	1.0	1/2	1/2	2/2	2	2	1/4		1/4	1		2	50	D3	3	107
12	12	46	2.0	1/2	1/2	2/2	2	1	1/2		1/2	1		-6	54	Gb3	3	106
12	12	46	2.0	1/2	1/2	2/2	2	1	1/2		1/2	1		-2	58	Bb3	3	106
12	12	47	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	113
12	12	47	1.0	3/4	3/4	2/2	2	2	1/4		1/4	1		-3	51	Eb3	3	108
13	13	48	1.0	0	0	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	122
13	13	48	4.0	0	0	2/2	3	1	1		1	1		-2	46	Bb2	2	121
13	13	48	1.0	0	0	2/2	2	1	1/4		1/4	1		-8	52	Fb3	3	118
13	13	48	1.0	0	0	2/2	2	1	1/4		1/4	1		-4	56	Ab3	3	118
13	13	48	1.0	0	0	2/2	1	1	1/4		1/4	1		-2	58	Bb3	3	114
13	13	49	1.0	1/4	1/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	123
13	13	49	1.0	1/4	1/4	2/2	2	1	1/4		1/4	1		-4	56	Ab3	3	119
13	13	49	1.0	1/4	1/4	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	119
13	13	49	1.0	1/4	1/4	2/2	1	1	1/4		1/4	1		-5	61	Db4	4	115
13	13	50	1.0	1/2	1/2	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	124
13	13	50	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		-7	59	Cb4	4	116
13	13	50	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		-5	61	Db4	4	116
13	13	50	1.0	1/2	1/2	2/2	1	1	1/4		1/4	1		-8	64	Fb4	4	116
13	13	51	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	125
13	13	51	1.0	3/4	3/4	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	120
13	13	51	1.0	3/4	3/4	2/2	1	1	1/4		1/4	1		-5	61	Db4	4	117
13	13	51	1.0	3/4	3/4	2/2	1	1	1/4		1/4	1		-3	63	Eb4	4	117
14	14	52	1.0	0	0	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	135
14	14	52	4.0	0	0	2/2	3	1	1		1	1		-2	46	Bb2	2	134
14	14	52	1.0	0	0	2/2	2	1	1/4		1/4	1		-6	54	Gb3	3	132
14	14	52	1.0	0	0	2/2	1	2	1/4		1/4	1		-2	58	Bb3	3	129
14	14	52	1.0	0	0	2/2	1	1	1/4		1/4	1		0	60	C4	4	126
14	14	53	1.0	1/4	1/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	136
14	14	53	1.0	1/4	1/4	2/2	2	1	1/4		1/4	1		3	57	A3	3	133
14	14	53	1.0	1/4	1/4	2/2	1	2	1/4		1/4	1		-5	61	Db4	4	130
14	14	53	1.0	1/4	1/4	2/2	1	1	1/4		1/4	1		-3	63	Eb4	4	127
14	14	54	1.0	1/2	1/2	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	137
14	14	54	2.0	1/2	1/2	2/2	1	2	1/2		1/2	1	1	0	60	C4	4	131
14	14	54	2.0	1/2	1/2	2/2	1	1	1/2		1/2	1	1	-3	63	Eb4	4	128
14	14	54	2.0	1/2	1/2	2/2	1	1	1/2		1/2	1	1	-6	66	Gb4	4	128
14	14	55	1.0	3/4	3/4	2/2	3	2	1/4		1/4	1		-2	34	Bb1	1	138
15	15	56	1.0	0	0	2/2	3	2	1/4		1/4	1		-3	39	Eb2	2	146
15	15	56	4.0	0	0	2/2	3	1	1		1	1		-2	46	Bb2	2	145
15	15	56	2.0	0	0	2/2	1	2	1/2		1/2	1	-1	0	60	C4	4	143
15	15	56	1.0	0	0	2/2	1	1	1/4		1/4	1	-1	-3	63	Eb4	4	139
15	15	56	1.0	0	0	2/2	1	1	1/4		1/4	1	-1	-6	66	Gb4	4	139
