mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	B1	1	0
1	1	0	0.5	0	0	3/4	2	1	1/8		1/8	1		5	47	B2	2	1
1	1	1	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		5	47	B2	2	2
1	1	1	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	F#3	3	2
2	2	3	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	B1	1	3
2	2	3	0.5	0	0	3/4	2	1	1/8		1/8	1		5	47	B2	2	4
2	2	4	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		5	47	B2	2	5
2	2	4	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	F#3	3	5
3	3	6	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	B1	1	10
3	3	6	0.5	0	0	3/4	2	1	1/8		1/8	1		5	47	B2	2	11
3	3	7	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		5	47	B2	2	12
3	3	7	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	F#3	3	12
3	3	7	2.0	1/4	1/4	3/4	1	2	1/2		1/2	1		7	61	C#4	4	9
3	3	7	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		8	68	G#4	4	6
3	3	15/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	7
3	3	8	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68	G#4	4	8
4	4	9	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		3	33	A1	1	20
4	4	9	0.5	0	0	3/4	2	1	1/8		1/8	1		3	45	A2	2	21
4	4	10	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		3	45	A2	2	22
4	4	10	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	F#3	3	22
4	4	10	2.0	1/4	1/4	3/4	1	2	1/2		1/2	1		7	61	C#4	4	19
4	4	10	0.3333333333333333	1/4	1/4	3/4	1	1	1/12		1/8	2/3		6	66	F#4	4	13
4	4	31/3	0.3333333333333333	1/3	1/3	3/4	1	1	1/12		1/8	2/3		8	68	G#4	4	14
4	4	32/3	0.3333333333333333	5/12	5/12	3/4	1	1	1/12		1/8	2/3		3	69	A4	4	15
4	4	11	0.3333333333333333	1/2	1/2	3/4	1	1	1/12		1/8	2/3		7	73	C#5	5	16
4	4	34/3	0.3333333333333333	7/12	7/12	3/4	1	1	1/12		1/8	2/3		3	69	A4	4	17
4	4	35/3	0.3333333333333333	2/3	2/3	3/4	1	1	1/12		1/8	2/3		6	66	F#4	4	18
5	5	12	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	B1	1	29
5	5	12	0.5	0	0	3/4	2	1	1/8		1/8	1		5	47	B2	2	30
5	5	13	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47	B2	2	31
5	5	13	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		6	54	F#3	3	31
5	5	13	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		2	62	D4	4	27
5	5	13	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		8	68	G#4	4	23
5	5	27/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	24
5	5	14	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		7	49	C#3	3	32
5	5	14	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	32
5	5	14	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		11	65	E#4	4	28
5	5	14	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		8	68	G#4	4	25
5	5	29/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	26
6	6	15	1.5	0	0	3/4	2	1	3/8		1/4	3/2		2	50	D3	3	40
6	6	15	1.5	0	0	3/4	2	1	3/8		1/4	3/2		3	57	A3	3	40
6	6	15	1.0	0	0	3/4	1	2	1/4		1/4	1		2	62	D4	4	39
6	6	15	0.3333333333333333	0	0	3/4	1	1	1/12		1/8	2/3		8	68	G#4	4	33
6	6	46/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12		1/8	2/3		6	66	F#4	4	34
6	6	47/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12		1/8	2/3		4	64	E4	4	35
6	6	16	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		2	62	D4	4	36
6	6	33/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	45	A2	2	41
6	6	33/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	41
6	6	33/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		7	61	C#4	4	37
6	6	33/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		4	64	E4	4	37
6	6	17	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	42
6	6	17	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	42
6	6	17	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		2	62	D4	4	38
6	6	17	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		6	66	F#4	4	38
7	7	18	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	B1	1	47
7	7	18	0.5	0	0	3/4	2	1	1/8		1/8	1		5	47	B2	2	48
7	7	19	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		5	47	B2	2	49
7	7	19	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	F#3	3	49
7	7	19	2.0	1/4	1/4	3/4	1	2	1/2		1/2	1		2	62	D4	4	46
7	7	19	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		8	68	G#4	4	43
7	7	39/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	44
7	7	20	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68	G#4	4	45
8	8	21	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		3	33	A1	1	57
8	8	21	0.5	0	0	3/4	2	1	1/8		1/8	1		3	45	A2	2	58
8	8	22	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		3	45	A2	2	59
8	8	22	2.0	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	F#3	3	59
8	8	22	2.0	1/4	1/4	3/4	1	2	1/2		1/2	1		7	61	C#4	4	56
8	8	22	0.3333333333333333	1/4	1/4	3/4	1	1	1/12		1/8	2/3		6	66	F#4	4	50
8	8	67/3	0.3333333333333333	1/3	1/3	3/4	1	1	1/12		1/8	2/3		8	68	G#4	4	51
8	8	68/3	0.3333333333333333	5/12	5/12	3/4	1	1	1/12		1/8	2/3		3	69	A4	4	52
8	8	23	0.3333333333333333	1/2	1/2	3/4	1	1	1/12		1/8	2/3		7	73	C#5	5	53
8	8	70/3	0.3333333333333333	7/12	7/12	3/4	1	1	1/12		1/8	2/3		3	69	A4	4	54
8	8	71/3	0.3333333333333333	2/3	2/3	3/4	1	1	1/12		1/8	2/3		6	66	F#4	4	55
9	9	24	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	B1	1	66
9	9	24	0.5	0	0	3/4	2	1	1/8		1/8	1		5	47	B2	2	67
9	9	25	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	47	B2	2	68
9	9	25	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		6	54	F#3	3	68
9	9	25	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		2	62	D4	4	64
9	9	25	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		8	68	G#4	4	60
9	9	51/2	0.5	3/8	3/8	3/4	1	1	1/8		1/8	1		5	71	B4	4	61
9	9	26	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		7	49	C#3	3	69
9	9	26	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		5	59	B3	3	69
9	9	26	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		11	65	E#4	4	65
9	9	26	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		8	68	G#4	4	62
9	9	53/2	0.5	5/8	5/8	3/4	1	1	1/8		1/8	1		3	69	A4	4	63
10	10	27	2.0	0	0	3/4	2	2	1/2		1/2	1		6	42	F#2	2	78
10	10	27	1.0	0	0	3/4	2	1	1/4		1/4	1		2	50	D3	3	76
10	10	27	1.0	0	0	3/4	2	1	1/4		1/4	1		5	59	B3	3	76
10	10	27	1.0	0	0	3/4	1	2	1/4		1/4	1		2	62	D4	4	74
10	10	27	0.3333333333333333	0	0	3/4	1	1	1/12		1/8	2/3		8	68	G#4	4	70
10	10	82/3	0.3333333333333333	1/12	1/12	3/4	1	1	1/12		1/8	2/3		6	66	F#4	4	71
10	10	83/3	0.3333333333333333	1/6	1/6	3/4	1	1	1/12		1/8	2/3		4	64	E4	4	72
10	10	28	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		7	49	C#3	3	77
10	10	28	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	57	A3	3	77
10	10	28	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		7	61	C#4	4	75
10	10	28	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		6	66	F#4	4	73
11	11	30	0.0	0	0	3/4	2	1	0	acciaccatura	1/8	1		6	30	F#1	1	84
11	11	30	3.0	0	0	3/4	2	1	3/4		1/2	3/2		6	42	F#2	2	85
11	11	31	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		3	57	A3	3	82
11	11	31	0.75	1/4	1/4	3/4	1	1	3/16		1/8	3/2		7	61	C#4	4	79
11	11	127/4	0.25	7/16	7/16	3/4	1	1	1/16		1/16	1		6	66	F#4	4	80
11	11	32	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		8	56	G#3	3	83
11	11	32	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		5	59	B3	3	81
12	12	33	3.0	0	0	3/4	2	2	3/4		1/2	3/2		6	42	F#2	2	93
12	12	33	2.0	0	0	3/4	2	1	1/2		1/2	1		7	49	C#3	3	91
12	12	34	1.0	1/4	1/4	3/4	1	2	1/4		1/4	1		3	57	A3	3	89
12	12	34	0.75	1/4	1/4	3/4	1	1	3/16		1/8	3/2		7	61	C#4	4	86
12	12	139/4	0.25	7/16	7/16	3/4	1	1	1/16		1/16	1		6	66	F#4	4	87
12	12	35	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		2	50	D3	3	92
12	12	35	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		3	57	A3	3	90
12	12	35	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		12	60	B#3	3	88
13	13	36	1.0	0	0	3/4	2	1	1/4		1/4	1		5	35	B1	1	97
13	13	37	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		6	42	F#2	2	98
13	13	37	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		9	51	D#3	3	98
13	13	37	0.75	1/4	1/4	3/4	1	1	3/16		1/8	3/2		3	57	A3	3	94
13	13	37	0.75	1/4	1/4	3/4	1	1	3/16		1/8	3/2		7	61	C#4	4	94
13	13	151/4	0.25	7/16	7/16	3/4	1	1	1/16		1/16	1		3	81	A5	5	95
13	13	38	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	6	54	F#3	3	99
13	13	38	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1	1	9	63	D#4	4	99
13	13	38	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	3	69	A4	4	96
13	13	38	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1	1	7	73	C#5	5	96
14	14	39	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	6	54	F#3	3	105
14	14	39	1.0	0	0	3/4	2	1	1/4		1/4	1	-1	9	63	D#4	4	105
14	14	39	0.75	0	0	3/4	1	1	3/16		1/8	3/2	-1	3	69	A4	4	100
14	14	39	0.75	0	0	3/4	1	1	3/16		1/8	3/2	-1	7	73	C#5	5	100
14	14	159/4	0.25	3/16	3/16	3/4	1	1	1/16		1/16	1		3	81	A5	5	101
14	14	40	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		5	59	B3	3	106
14	14	40	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		9	63	D#4	4	106
14	14	40	0.75	1/4	1/4	3/4	1	1	3/16		1/8	3/2		3	69	A4	4	102
14	14	40	0.75	1/4	1/4	3/4	1	1	3/16		1/8	3/2		7	73	C#5	5	102
14	14	163/4	0.25	7/16	7/16	3/4	1	1	1/16		1/16	1		3	81	A5	5	103
