quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	0.0	1	1	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	0
0	0.5	1	1	0	0	3/4	2	1	1/8		1/8	1		5	47	1
1	2.0	1	1	1/4	1/4	3/4	2	1	1/2		1/2	1		5	47	2
1	2.0	1	1	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	2
3	0.0	2	2	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	3
3	0.5	2	2	0	0	3/4	2	1	1/8		1/8	1		5	47	4
4	2.0	2	2	1/4	1/4	3/4	2	1	1/2		1/2	1		5	47	5
4	2.0	2	2	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	5
6	0.0	3	3	0	0	3/4	2	1	0	acciaccatura	1/8	1		5	35	10
6	0.5	3	3	0	0	3/4	2	1	1/8		1/8	1		5	47	11
7	2.0	3	3	1/4	1/4	3/4	2	1	1/2		1/2	1		5	47	12
7	2.0	3	3	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	12
7	2.0	3	3	1/4	1/4	3/4	1	2	1/2		1/2	1		7	61	9
7	0.5	3	3	1/4	1/4	3/4	1	1	1/8		1/8	1		8	68	6
15/2	0.5	3	3	3/8	3/8	3/4	1	1	1/8		1/8	1		3	69	7
8	1.0	3	3	1/2	1/2	3/4	1	1	1/4		1/4	1		8	68	8
9	0.0	4	4	0	0	3/4	2	1	0	acciaccatura	1/8	1		3	33	20
9	0.5	4	4	0	0	3/4	2	1	1/8		1/8	1		3	45	21
10	2.0	4	4	1/4	1/4	3/4	2	1	1/2		1/2	1		3	45	22
10	2.0	4	4	1/4	1/4	3/4	2	1	1/2		1/2	1		6	54	22
10	2.0	4	4	1/4	1/4	3/4	1	2	1/2		1/2	1		7	61	19
10	0.3333333333333333	4	4	1/4	1/4	3/4	1	1	1/12		1/8	2/3		6	66	13
31/3	0.3333333333333333	4	4	1/3	1/3	3/4	1	1	1/12		1/8	2/3		8	68	14
32/3	0.3333333333333333	4	4	5/12	5/12	3/4	1	1	1/12		1/8	2/3		3	69	15
11	0.3333333333333333	4	4	1/2	1/2	3/4	1	1	1/12		1/8	2/3		7	73	16
34/3	0.3333333333333333	4	4	7/12	7/12	3/4	1	1	1/12		1/8	2/3		3	69	17
35/3	0.3333333333333333	4	4	2/3	2/3	3/4	1	1	1/12		1/8	2/3		6	66	18
