mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	0
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	1
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	1
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	1
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	2
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	2
1	1	2	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	2
2	2	3	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	3
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	4
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	4
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	4
2	2	5	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	5
2	2	5	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	5
2	2	5	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	5
3	3	6	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	6
3	3	7	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	7
3	3	7	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	7
3	3	7	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	7
3	3	8	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	8
3	3	8	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	8
3	3	8	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	8
4	4	9	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	9
4	4	10	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	10
4	4	10	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	10
4	4	10	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	10
4	4	11	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	11
4	4	11	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	11
4	4	11	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	11
5	5	12	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	15
5	5	25/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		1	67	G4	4	12
5	5	13	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	16
5	5	13	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	16
5	5	13	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	16
5	5	13	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		1	67	G4	4	13
5	5	14	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		4	52	E3	3	17
5	5	14	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-2	58	Bb3	3	17
5	5	14	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		-5	61	Db4	4	17
5	5	14	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-4	68	Ab4	4	14
6	6	15	1.0	0	0	3/4	2	1	1/4		1/4	1		-2	46	Bb2	2	21
6	6	31/2	0.5	1/8	1/8	3/4	1	1	1/8		1/8	1		-2	70	Bb4	4	18
6	6	16	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	53	F3	3	22
