mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.25	0	0	2/4	1	1	1/16		1/16	1		4	76	E5	5	0
1	1	1/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		1	79	G5	5	1
1	1	3/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		4	76	E5	5	2
1	1	1	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		1	79	G5	5	3
1	1	3/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		4	76	E5	5	4
2	2	2	0.25	0	0	2/4	1	1	1/16		1/16	1		0	72	C5	5	5
2	2	9/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		4	76	E5	5	6
2	2	11/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	7
2	2	3	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		4	76	E5	5	8
2	2	7/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		0	72	C5	5	9
3	3	4	0.5	0	0	2/4	2	1	1/8		1/8	1		2	62	D4	4	16
3	3	4	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	65	F4	4	16
3	3	4	0.25	0	0	2/4	1	1	1/16		1/16	1		3	69	A4	4	10
3	3	17/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		0	72	C5	5	11
3	3	9/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		9	63	D#4	4	17
3	3	9/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		6	66	F#4	4	17
3	3	19/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		3	69	A4	4	12
3	3	5	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		4	64	E4	4	18
3	3	5	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		1	67	G4	4	18
3	3	5	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		0	72	C5	5	13
3	3	11/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-3	63	Eb4	4	19
3	3	11/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-6	66	Gb4	4	19
3	3	11/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		3	69	A4	4	14
3	3	23/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		0	72	C5	5	15
4	4	6	0.5	0	0	2/4	2	1	1/8		1/8	1		2	62	D4	4	21
4	4	6	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	65	F4	4	21
4	4	6	2.0	0	0	2/4	1	1	1/2		1/2	1		3	69	A4	4	20
4	4	13/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-3	63	Eb4	4	22
4	4	13/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-6	66	Gb4	4	22
4	4	7	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		2	62	D4	4	23
4	4	7	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-1	65	F4	4	23
4	4	15/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		7	61	C#4	4	24
4	4	15/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		4	64	E4	4	24
5	5	8	0.5	0	0	2/4	2	1	1/8		1/8	1		0	60	C4	4	30
5	5	8	0.5	0	0	2/4	2	1	1/8		1/8	1		-3	63	Eb4	4	30
5	5	8	0.25	0	0	2/4	1	1	1/16		1/16	1		1	67	G4	4	25
5	5	33/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		3	69	A4	4	26
5	5	17/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		5	59	B3	3	31
5	5	17/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		2	62	D4	4	31
5	5	35/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		1	67	G4	4	27
5	5	9	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-2	58	Bb3	3	32
5	5	9	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-5	61	Db4	4	32
5	5	9	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		4	64	E4	4	28
5	5	19/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	33
5	5	19/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		0	60	C4	4	33
5	5	19/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		1	67	G4	4	29
6	6	10	0.5	0	0	2/4	2	1	1/8		1/8	1		-4	56	Ab3	3	38
6	6	10	0.5	0	0	2/4	2	1	1/8		1/8	1		5	59	B3	3	38
6	6	10	0.25	0	0	2/4	1	1	1/16		1/16	1		4	64	E4	4	34
6	6	41/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		-1	65	F4	4	35
6	6	21/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		1	55	G3	3	39
6	6	21/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-2	58	Bb3	3	39
6	6	43/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		4	64	E4	4	36
6	6	11	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-6	54	Gb3	3	40
6	6	11	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		3	57	A3	3	40
6	6	11	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1		0	60	C4	4	37
6	6	23/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	41
6	6	23/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-4	56	Ab3	3	41
7	7	12	0.5	0	0	2/4	2	1	1/8		1/8	1		4	52	E3	3	48
7	7	12	0.5	0	0	2/4	2	1	1/8		1/8	1		1	55	G3	3	48
7	7	12	0.25	0	0	2/4	1	1	1/16		1/16	1		0	60	C4	4	42
7	7	49/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		2	62	D4	4	43
7	7	25/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-3	51	Eb3	3	49
7	7	25/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-6	54	Gb3	3	49
7	7	51/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		0	60	C4	4	44
7	7	13	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		2	50	D3	3	50
7	7	13	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-1	53	F3	3	50
7	7	13	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		1	55	G3	3	45
7	7	27/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		9	51	D#3	3	51
7	7	27/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		6	54	F#3	3	51
7	7	27/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		1	55	G3	3	46
7	7	55/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		5	59	B3	3	47
8	8	14	0.5	0	0	2/4	2	1	1/8		1/8	1		2	50	D3	3	53
8	8	14	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	53	F3	3	53
8	8	14	2.0	0	0	2/4	1	1	1/2		1/2	1		1	55	G3	3	52
8	8	29/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		1	43	G2	2	54
8	8	15	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-5	49	Db3	3	55
8	8	15	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-1	53	F3	3	55
8	8	31/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		1	43	G2	2	56
9	9	16	0.5	0	0	2/4	2	1	1/8		1/8	1		0	48	C3	3	62
9	9	16	0.25	0	0	2/4	1	1	1/16		1/16	1		4	52	E3	3	57
9	9	65/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		1	55	G3	3	58
9	9	33/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		0	60	C4	4	63
9	9	67/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		4	52	E3	3	59
9	9	17	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		5	47	B2	2	64
9	9	17	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		1	55	G3	3	60
9	9	35/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		4	52	E3	3	61
9	9	35/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		5	59	B3	3	65
10	10	18	0.5	0	0	2/4	2	1	1/8		1/8	1		3	45	A2	2	71
10	10	18	0.25	0	0	2/4	1	1	1/16		1/16	1		0	48	C3	3	66
10	10	73/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		4	52	E3	3	67
10	10	37/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		3	57	A3	3	72
10	10	75/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		0	48	C3	3	68
10	10	19	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		1	43	G2	2	73
10	10	19	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		4	52	E3	3	69
10	10	39/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		0	48	C3	3	70
10	10	39/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		1	55	G3	3	74
11	11	20	0.5	0	0	2/4	2	1	1/8		1/8	1		-1	41	F2	2	81
11	11	20	0.25	0	0	2/4	1	1	1/16		1/16	1		3	45	A2	2	75
11	11	81/4	0.5	1/16	1/16	2/4	1	1	1/8		1/8	1		0	48	C3	3	76
11	11	41/2	0.5	1/8	1/8	2/4	2	1	1/8		1/8	1		-1	53	F3	3	82
11	11	83/4	0.25	3/16	3/16	2/4	1	1	1/16		1/16	1		3	45	A2	2	77
11	11	21	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		4	40	E2	2	83
11	11	21	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		0	48	C3	3	78
11	11	43/2	0.25	3/8	3/8	2/4	1	1	1/16		1/16	1		3	45	A2	2	79
11	11	43/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		4	52	E3	3	84
11	11	87/4	0.25	7/16	7/16	2/4	1	1	1/16		1/16	1		0	48	C3	3	80
12	12	22	0.5	0	0	2/4	2	1	1/8		1/8	1		2	38	D2	2	86
12	12	22	2.0	0	0	2/4	1	1	1/2		1/2	1		3	45	A2	2	85
