quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1.0	1	1	1/4	1/4	3/4	1	1	1/4	1/4	1		-5	61	0
2	1.0	1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		-3	63	1
3	1.0	2	2	0	0	3/4	2	1	1/4	1/4	1		-6	42	7
3	1.5	2	2	0	0	3/4	1	1	3/8	1/4	3/2		-1	65	2
4	1.0	2	2	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	49	8
4	1.0	2	2	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-9	57	5
4	1.0	2	2	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-5	61	5
9/2	0.5	2	2	3/8	3/8	3/4	1	1	1/8	1/8	1		-4	68	3
5	1.0	2	2	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	37	9
5	0.5	2	2	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-9	57	6
5	0.5	2	2	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-5	61	6
5	1.0	2	2	1/2	1/2	3/4	1	1	1/4	1/4	1	1	-1	65	4
6	0.5	3	3	0	0	3/4	2	1	1/8	1/8	1		-6	42	18
6	0.5	3	3	0	0	3/4	1	1	1/8	1/8	1	-1	-1	65	10
13/2	1.5	3	3	1/8	1/8	3/4	2	1	3/8	1/4	3/2		-5	49	19
13/2	0.5	3	3	1/8	1/8	3/4	1	1	1/8	1/8	1		-4	68	11
7	1.0	3	3	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-9	57	16
7	1.0	3	3	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-5	61	16
7	0.5	3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	65	12
15/2	0.5	3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		-4	68	13
8	1.0	3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	37	20
8	0.5	3	3	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-9	57	17
8	0.5	3	3	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-5	61	17
8	0.5	3	3	1/2	1/2	3/4	1	1	1/8	1/8	1		-1	65	14
17/2	0.5	3	3	5/8	5/8	3/4	1	1	1/8	1/8	1		-4	68	15
9	1.0	4	4	0	0	3/4	2	1	1/4	1/4	1		-6	42	25
9	1.0	4	4	0	0	3/4	1	1	1/4	1/4	1		-1	65	21
10	1.0	4	4	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	49	26
10	1.0	4	4	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-9	57	23
10	1.0	4	4	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-5	61	23
11	1.0	4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	37	27
11	0.5	4	4	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-9	57	24
11	0.5	4	4	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-5	61	24
11	1.0	4	4	1/2	1/2	3/4	1	1	1/4	1/4	1	1	-1	65	22
12	0.5	5	5	0	0	3/4	2	1	1/8	1/8	1		-6	42	33
12	1.0	5	5	0	0	3/4	1	1	1/4	1/4	1	-1	-1	65	28
25/2	1.5	5	5	1/8	1/8	3/4	2	1	3/8	1/4	3/2		-5	49	34
13	1.0	5	5	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-9	57	31
13	1.0	5	5	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-5	61	31
13	1.5	5	5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		-5	61	29
14	1.0	5	5	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	37	35
14	0.5	5	5	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-9	57	32
14	0.5	5	5	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-5	61	32
29/2	0.5	5	5	5/8	5/8	3/4	1	1	1/8	1/8	1		-3	63	30
15	1.0	6	6	0	0	3/4	2	1	1/4	1/4	1		-6	42	41
15	1.5	6	6	0	0	3/4	1	1	3/8	1/4	3/2		-1	65	36
16	1.0	6	6	1/4	1/4	3/4	2	1	1/4	1/4	1		-5	49	42
16	1.0	6	6	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-9	57	39
16	1.0	6	6	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-5	61	39
33/2	0.5	6	6	3/8	3/8	3/4	1	1	1/8	1/8	1		-4	68	37
17	1.0	6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		-5	37	43
17	0.5	6	6	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-9	57	40
17	0.5	6	6	1/2	1/2	3/4	1	2	1/8	1/8	1	-1	-5	61	40
17	1.0	6	6	1/2	1/2	3/4	1	1	1/4	1/4	1	1	-1	65	38
18	0.5	7	7	0	0	3/4	2	1	1/8	1/8	1		-6	42	52
18	0.5	7	7	0	0	3/4	1	1	1/8	1/8	1	-1	-1	65	44
37/2	1.5	7	7	1/8	1/8	3/4	2	1	3/8	1/4	3/2		-5	49	53
37/2	0.5	7	7	1/8	1/8	3/4	1	1	1/8	1/8	1		-4	68	45
19	1.0	7	7	1/4	1/4	3/4	1	2	1/4	1/4	1		-9	57	50
19	1.0	7	7	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-5	61	50
19	0.5	7	7	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	65	46
39/2	0.5	7	7	3/8	3/8	3/4	1	1	1/8	1/8	1		-4	68	47
20	1.0	7	7	1/2	1/2	3/4	2	1	1/4	1/4	1		-6	42	54
20	1.0	7	7	1/2	1/2	3/4	1	2	1/4	1/4	1		-2	58	51
20	1.0	7	7	1/2	1/2	3/4	1	2	1/4	1/4	1	-1	-5	61	51
20	0.5	7	7	1/2	1/2	3/4	1	1	1/8	1/8	1		-6	66	48
41/2	0.5	7	7	5/8	5/8	3/4	1	1	1/8	1/8	1		-2	70	49
21	1.0	8	8	0	0	3/4	2	1	1/4	1/4	1		1	43	58
21	3.0	8	8	0	0	3/4	1	1	3/4	1/2	3/2	1	-3	75	55
22	1.0	8	8	1/4	1/4	3/4	2	1	1/4	1/4	1	1	-3	51	59
22	1.0	8	8	1/4	1/4	3/4	2	1	1/4	1/4	1	1	-2	58	59
22	1.0	8	8	1/4	1/4	3/4	2	1	1/4	1/4	1	1	-5	61	59
22	1.0	8	8	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-3	63	56
22	1.0	8	8	1/4	1/4	3/4	1	2	1/4	1/4	1	1	-2	70	56
23	0.5	8	8	1/2	1/2	3/4	2	1	1/8	1/8	1	-1	-3	51	60
23	0.5	8	8	1/2	1/2	3/4	2	1	1/8	1/8	1	-1	-2	58	60
