quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	0.5	1	1	0	0	4/4	2	1	1/8	1/8	1		-2	58	0
0	4.0	1	1	0	0	4/4	2	2	1	1	1	1	-2	58	8
1/2	0.5	1	1	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	1
1	0.5	1	1	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	2
3/2	0.5	1	1	3/8	3/8	4/4	2	1	1/8	1/8	1	1	1	67	3
2	0.5	1	1	1/2	1/2	4/4	2	1	1/8	1/8	1	-1	1	67	4
5/2	0.5	1	1	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	5
3	0.5	1	1	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	6
7/2	0.5	1	1	7/8	7/8	4/4	2	1	1/8	1/8	1	1	-2	58	7
4	0.5	2	2	0	0	4/4	2	1	1/8	1/8	1	-1	-2	58	9
4	4.0	2	2	0	0	4/4	2	2	1	1	1	0	-2	58	17
9/2	0.5	2	2	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	10
5	0.5	2	2	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	11
11/2	0.5	2	2	3/8	3/8	4/4	2	1	1/8	1/8	1	1	1	67	12
6	0.5	2	2	1/2	1/2	4/4	2	1	1/8	1/8	1	-1	1	67	13
13/2	0.5	2	2	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	14
7	0.5	2	2	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	15
15/2	0.5	2	2	7/8	7/8	4/4	2	1	1/8	1/8	1	1	-2	58	16
8	0.5	3	3	0	0	4/4	2	1	1/8	1/8	1	-1	-2	58	20
8	4.0	3	3	0	0	4/4	2	2	1	1	1	-1	-2	58	28
8	2.0	3	3	0	0	4/4	1	1	1/2	1/2	1		1	79	18
17/2	0.5	3	3	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	21
9	0.5	3	3	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	22
19/2	0.5	3	3	3/8	3/8	4/4	2	1	1/8	1/8	1	1	1	67	23
10	0.5	3	3	1/2	1/2	4/4	2	1	1/8	1/8	1	-1	1	67	24
10	2.0	3	3	1/2	1/2	4/4	1	1	1/2	1/2	1	1	2	74	19
21/2	0.5	3	3	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	25
11	0.5	3	3	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	26
23/2	0.5	3	3	7/8	7/8	4/4	2	1	1/8	1/8	1	1	-2	58	27
12	0.5	4	4	0	0	4/4	2	1	1/8	1/8	1	-1	-2	58	35
12	1.0	4	4	0	0	4/4	1	1	1/4	1/4	1	-1	2	74	29
25/2	0.5	4	4	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	36
13	0.5	4	4	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	37
13	0.5	4	4	1/4	1/4	4/4	1	1	1/8	1/8	1		4	76	30
27/2	0.5	4	4	3/8	3/8	4/4	2	1	1/8	1/8	1	1	1	67	38
27/2	0.5	4	4	3/8	3/8	4/4	1	1	1/8	1/8	1		-1	77	31
14	0.5	4	4	1/2	1/2	4/4	2	1	1/8	1/8	1	-1	1	67	39
14	1.0	4	4	1/2	1/2	4/4	1	1	1/4	1/4	1		1	79	32
29/2	0.5	4	4	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	40
15	0.5	4	4	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	41
15	0.5	4	4	3/4	3/4	4/4	1	1	1/8	1/8	1		4	76	33
31/2	0.5	4	4	7/8	7/8	4/4	2	1	1/8	1/8	1	1	-2	58	42
31/2	0.5	4	4	7/8	7/8	4/4	1	1	1/8	1/8	1		2	74	34
16	0.5	5	5	0	0	4/4	2	1	1/8	1/8	1	-1	-2	58	47
16	0.6666666666666666	5	5	0	0	4/4	1	1	1/6	1/4	2/3		4	76	43
33/2	0.5	5	5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	48
50/3	0.6666666666666666	5	5	1/6	1/6	4/4	1	1	1/6	1/4	2/3		0	72	44
17	0.5	5	5	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	49
52/3	0.6666666666666666	5	5	1/3	1/3	4/4	1	1	1/6	1/4	2/3		4	76	45
35/2	0.5	5	5	3/8	3/8	4/4	2	1	1/8	1/8	1	1	1	67	50
18	0.5	5	5	1/2	1/2	4/4	2	1	1/8	1/8	1	-1	1	67	51
18	2.0	5	5	1/2	1/2	4/4	1	1	1/2	1/2	1	1	2	74	46
37/2	0.5	5	5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	52
19	0.5	5	5	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	53
39/2	0.5	5	5	7/8	7/8	4/4	2	1	1/8	1/8	1	1	-2	58	54
20	0.5	6	6	0	0	4/4	2	1	1/8	1/8	1	-1	-2	58	58
20	2.0	6	6	0	0	4/4	1	1	1/2	1/2	1	-1	2	74	55
41/2	0.5	6	6	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	59
21	0.5	6	6	1/4	1/4	4/4	2	1	1/8	1/8	1		2	62	60
43/2	0.5	6	6	3/8	3/8	4/4	2	1	1/8	1/8	1	1	1	67	61
22	0.5	6	6	1/2	1/2	4/4	2	1	1/8	1/8	1	-1	1	67	62
22	1.0	6	6	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	56
45/2	0.5	6	6	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	63
23	0.5	6	6	3/4	3/4	4/4	2	1	1/8	1/8	1		0	60	64
23	1.0	6	6	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	57
47/2	0.5	6	6	7/8	7/8	4/4	2	1	1/8	1/8	1		-2	58	65
24	0.5	7	7	0	0	4/4	2	1	1/8	1/8	1		3	57	69
24	1.0	7	7	0	0	4/4	1	1	1/4	1/4	1		4	76	66
