quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	1.0	1	1	0	0	4/4	2	1	1/4	1/4	1		-2	34	0
0	1.0	1	1	0	0	4/4	2	1	1/4	1/4	1		-2	46	0
1	1.0	1	1	1/4	1/4	4/4	2	1	1/4	1/4	1		-3	39	1
1	1.0	1	1	1/4	1/4	4/4	2	1	1/4	1/4	1		-3	51	1
2	1.0	1	1	1/2	1/2	4/4	2	1	1/4	1/4	1		3	33	2
2	1.0	1	1	1/2	1/2	4/4	2	1	1/4	1/4	1		3	45	2
3	1.0	1	1	3/4	3/4	4/4	2	1	1/4	1/4	1	1	-5	37	3
3	1.0	1	1	3/4	3/4	4/4	2	1	1/4	1/4	1	1	-5	49	3
4	2.0	2	2	0	0	4/4	2	1	1/2	1/2	1	-1	-5	37	17
4	2.0	2	2	0	0	4/4	2	1	1/2	1/2	1	-1	-5	49	17
5	0.08333333333333333	2	2	1/4	1/4	4/4	1	1	1/48	1/32	2/3		-1	53	4
61/12	0.08333333333333333	2	2	13/48	13/48	4/4	1	1	1/48	1/32	2/3		-2	58	5
31/6	0.08333333333333333	2	2	7/24	7/24	4/4	1	1	1/48	1/32	2/3		-5	61	6
21/4	0.08333333333333333	2	2	5/16	5/16	4/4	1	1	1/48	1/32	2/3		-1	65	7
16/3	0.08333333333333333	2	2	1/3	1/3	4/4	1	1	1/48	1/32	2/3		-2	70	8
65/12	0.08333333333333333	2	2	17/48	17/48	4/4	1	1	1/48	1/32	2/3		-5	73	9
11/2	0.08333333333333333	2	2	3/8	3/8	4/4	1	1	1/48	1/32	2/3		-1	77	10
67/12	0.08333333333333333	2	2	19/48	19/48	4/4	1	1	1/48	1/32	2/3		-2	82	11
17/3	0.08333333333333333	2	2	5/12	5/12	4/4	1	1	1/48	1/32	2/3		-5	85	12
23/4	0.08333333333333333	2	2	7/16	7/16	4/4	1	1	1/48	1/32	2/3		-1	89	13
