quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
3/2	0.5	1	1	3/8	3/8	6/8	3	1	1/8		1/8	1		-5	49	3
3/2	0.5	1	1	3/8	3/8	6/8	3	2	1/8		1/8	1		-5	49	6
3/2	0.5	1	1	3/8	3/8	6/8	2	1	1/8		1/8	1		-3	51	0
3/2	0.5	1	1	3/8	3/8	6/8	2	1	1/8		1/8	1		-2	58	0
2	0.75	1	1	1/2	1/2	6/8	3	1	3/16		1/8	3/2		-2	46	4
2	1.0	1	1	1/2	1/2	6/8	3	2	1/4		1/4	1	1	-2	46	7
2	0.75	1	1	1/2	1/2	6/8	2	1	3/16		1/8	3/2		-6	54	1
2	0.75	1	1	1/2	1/2	6/8	2	1	3/16		1/8	3/2		-5	61	1
11/4	0.25	1	1	11/16	11/16	6/8	3	1	1/16		1/16	1		-3	39	5
11/4	0.25	1	1	11/16	11/16	6/8	2	1	1/16		1/16	1		1	55	2
11/4	0.25	1	1	11/16	11/16	6/8	2	1	1/16		1/16	1		-1	65	2
3	0.5	2	2	0	0	6/8	3	1	1/8		1/8	1		-2	34	11
3	1.5	2	2	0	0	6/8	3	2	3/8		1/4	3/2	0	-2	46	15
3	0.5	2	2	0	0	6/8	2	1	1/8		1/8	1		-6	54	8
3	0.5	2	2	0	0	6/8	2	1	1/8		1/8	1		-5	61	8
7/2	0.75	2	2	1/8	1/8	6/8	3	1	3/16		1/8	3/2		-5	37	12
7/2	1.0	2	2	1/8	1/8	6/8	2	1	1/4		1/4	1	1	-3	51	9
7/2	1.0	2	2	1/8	1/8	6/8	2	1	1/4		1/4	1	1	-2	58	9
17/4	0.25	2	2	5/16	5/16	6/8	3	1	1/16		1/16	1		-3	39	13
9/2	1.5	2	2	3/8	3/8	6/8	3	1	3/8		1/4	3/2	1	-6	42	14
9/2	0.5	2	2	3/8	3/8	6/8	3	2	1/8		1/8	1	-1	-2	46	16
9/2	1.5	2	2	3/8	3/8	6/8	2	1	3/8		1/4	3/2	0	-3	51	10
9/2	1.5	2	2	3/8	3/8	6/8	2	1	3/8		1/4	3/2	0	-2	58	10
5	0.75	2	2	1/2	1/2	6/8	3	2	3/16		1/8	3/2		-4	44	17
23/4	0.25	2	2	11/16	11/16	6/8	3	2	1/16		1/16	1		-2	46	18
6	3.0	3	3	0	0	6/8	3	1	3/4		1/2	3/2	-1	-6	42	20
6	0.5	3	3	0	0	6/8	3	2	1/8		1/8	1		-2	46	21
6	3.0	3	3	0	0	6/8	2	1	3/4		1/2	3/2	-1	-3	51	19
6	3.0	3	3	0	0	6/8	2	1	3/4		1/2	3/2	-1	-2	58	19
13/2	0.5	3	3	1/8	1/8	6/8	3	2	1/8		1/8	1		-2	46	22
7	0.5	3	3	1/4	1/4	6/8	3	2	1/8		1/8	1	1	-4	44	23
15/2	1.5	3	3	3/8	3/8	6/8	3	2	3/8		1/4	3/2	-1	-4	44	24
21/2	0.5	4	4	3/8	3/8	6/8	3	1	1/8		1/8	1		-6	42	28
21/2	0.5	4	4	3/8	3/8	6/8	3	1	1/8		1/8	1		-5	49	28
21/2	0.5	4	4	3/8	3/8	6/8	2	1	1/8		1/8	1		-3	51	25
21/2	0.5	4	4	3/8	3/8	6/8	2	1	1/8		1/8	1		-2	58	25
11	0.75	4	4	1/2	1/2	6/8	3	1	3/16		1/8	3/2		-2	46	29
11	0.75	4	4	1/2	1/2	6/8	3	1	3/16		1/8	3/2		-3	51	29
11	0.75	4	4	1/2	1/2	6/8	2	1	3/16		1/8	3/2		-6	54	26
11	0.75	4	4	1/2	1/2	6/8	2	1	3/16		1/8	3/2		-5	61	26
47/4	0.25	4	4	11/16	11/16	6/8	3	1	1/16		1/16	1		-5	49	30
47/4	0.25	4	4	11/16	11/16	6/8	3	1	1/16		1/16	1		-6	54	30
47/4	0.25	4	4	11/16	11/16	6/8	2	1	1/16		1/16	1		1	55	27
47/4	0.25	4	4	11/16	11/16	6/8	2	1	1/16		1/16	1		-1	65	27
