quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	0.0	1	1	0	0	2/4	1	1	0	grace16	1/16	1		1	55	0
0	0.0	1	1	0	0	2/4	1	1	0	grace16	1/16	1		3	57	1
0	0.0	1	1	0	0	2/4	1	1	0	grace16	1/16	1		5	59	2
0	0.5	1	1	0	0	2/4	1	1	1/8		1/8	1		7	61	3
1/2	0.5	1	1	1/8	1/8	2/4	1	1	1/8		1/8	1		-1	65	4
1	0.5	1	1	1/4	1/4	2/4	1	1	1/8		1/8	1		4	64	5
3/2	0.25	1	1	3/8	3/8	2/4	2	1	1/16		1/16	1		3	57	8
3/2	0.25	1	1	3/8	3/8	2/4	2	1	1/16		1/16	1		-5	61	8
3/2	0.25	1	1	3/8	3/8	2/4	1	1	1/16		1/16	1		-3	63	6
3/2	0.25	1	1	3/8	3/8	2/4	1	1	1/16		1/16	1		1	67	6
7/4	0.25	1	1	7/16	7/16	2/4	2	1	1/16		1/16	1		-4	56	9
7/4	0.25	1	1	7/16	7/16	2/4	2	1	1/16		1/16	1		0	60	9
7/4	0.25	1	1	7/16	7/16	2/4	1	1	1/16		1/16	1		2	62	7
7/4	0.25	1	1	7/16	7/16	2/4	1	1	1/16		1/16	1		6	66	7
2	0.0	2	2	0	0	2/4	1	1	0	grace16after	1/16	1		5	59	10
2	0.0	2	2	0	0	2/4	1	1	0	grace16after	1/16	1		3	57	11
2	0.0	2	2	0	0	2/4	1	1	0	grace16after	1/16	1		1	55	12
2	2.0	2	2	0	0	2/4	2	1	1/2		1/2	1		1	55	14
2	2.0	2	2	0	0	2/4	2	1	1/2		1/2	1		5	59	14
2	2.0	2	2	0	0	2/4	1	1	1/2		1/2	1		-5	61	13
2	2.0	2	2	0	0	2/4	1	1	1/2		1/2	1		-1	65	13
4	0.5	3	3	0	0	2/4	1	1	1/8		1/8	1		7	61	15
9/2	0.5	3	3	1/8	1/8	2/4	1	1	1/8		1/8	1		6	66	16
5	0.5	3	3	1/4	1/4	2/4	1	1	1/8		1/8	1		-1	65	17
11/2	0.25	3	3	3/8	3/8	2/4	2	1	1/16		1/16	1		6	54	20
11/2	0.25	3	3	3/8	3/8	2/4	2	1	1/16		1/16	1		0	60	20
11/2	0.25	3	3	3/8	3/8	2/4	1	1	1/16		1/16	1		4	64	18
11/2	0.25	3	3	3/8	3/8	2/4	1	1	1/16		1/16	1		3	69	18
23/4	0.25	3	3	7/16	7/16	2/4	2	1	1/16		1/16	1		-1	53	21
23/4	0.25	3	3	7/16	7/16	2/4	2	1	1/16		1/16	1		5	59	21
23/4	0.25	3	3	7/16	7/16	2/4	1	1	1/16		1/16	1		-3	63	19
23/4	0.25	3	3	7/16	7/16	2/4	1	1	1/16		1/16	1		-4	68	19
6	2.0	4	4	0	0	2/4	2	1	1/2		1/2	1		4	52	23
6	2.0	4	4	0	0	2/4	2	1	1/2		1/2	1		-2	58	23
6	2.0	4	4	0	0	2/4	1	1	1/2		1/2	1		2	62	22
6	2.0	4	4	0	0	2/4	1	1	1/2		1/2	1		1	67	22
8	0.0	5	5	0	0	2/4	1	1	0	grace16	1/16	1		4	76	24
8	0.0	5	5	0	0	2/4	1	1	0	grace16	1/16	1		-1	77	25
8	0.0	5	5	0	0	2/4	1	1	0	grace16	1/16	1		1	79	26
8	0.5	5	5	0	0	2/4	2	1	1/8		1/8	1		1	55	35
8	0.5	5	5	0	0	2/4	2	1	1/8		1/8	1		-5	61	35
8	0.5	5	5	0	0	2/4	2	1	1/8		1/8	1		-1	65	35
8	0.5	5	5	0	0	2/4	1	2	1/8		1/8	1		5	71	33
8	0.5	5	5	0	0	2/4	1	1	1/8		1/8	1		-4	80	27
17/2	0.5	5	5	1/8	1/8	2/4	1	1	1/8		1/8	1		5	83	28
9	0.5	5	5	1/4	1/4	2/4	2	1	1/8		1/8	1		-4	56	36
9	0.5	5	5	1/4	1/4	2/4	2	1	1/8		1/8	1		-5	61	36
9	0.5	5	5	1/4	1/4	2/4	2	1	1/8		1/8	1		-6	66	36
9	0.5	5	5	1/4	1/4	2/4	1	2	1/8		1/8	1		0	72	34
9	0.25	5	5	1/4	1/4	2/4	1	1	1/16		1/16	1		-2	82	29
37/4	0.25	5	5	5/16	5/16	2/4	1	1	1/16		1/16	1		-4	80	30
19/2	0.25	5	5	3/8	3/8	2/4	1	1	1/16		1/16	1		-6	78	31
39/4	0.25	5	5	7/16	7/16	2/4	1	1	1/16		1/16	1		0	72	32
10	0.0	6	6	0	0	2/4	1	1	0	grace16	1/16	1		5	71	37
10	0.0	6	6	0	0	2/4	1	1	0	grace16	1/16	1		0	72	38
10	0.0	6	6	0	0	2/4	1	1	0	grace16	1/16	1		2	74	39
10	0.5	6	6	0	0	2/4	2	1	1/8		1/8	1		2	50	48
10	0.5	6	6	0	0	2/4	2	1	1/8		1/8	1		-4	56	48
10	0.5	6	6	0	0	2/4	2	1	1/8		1/8	1		0	60	48
10	0.5	6	6	0	0	2/4	1	2	1/8		1/8	1		6	66	46
10	0.5	6	6	0	0	2/4	1	1	1/8		1/8	1		-3	75	40
21/2	0.5	6	6	1/8	1/8	2/4	1	1	1/8		1/8	1		6	78	41
