quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
0	2.0	1	1	0	0	3/4	2	1	1/2	1/2	1	1	-2	46	2
1	1.0	1	1	1/4	1/4	3/4	1	1	1/4	1/4	1		1	55	0
1	1.0	1	1	1/4	1/4	3/4	1	1	1/4	1/4	1		-5	61	0
1	1.0	1	1	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	0
2	0.75	1	1	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	-2	46	3
2	1.0	1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		1	55	1
2	1.0	1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		0	60	1
2	1.0	1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	65	1
11/4	0.25	1	1	11/16	11/16	3/4	2	1	1/16	1/16	1		0	48	4
3	2.0	2	2	0	0	3/4	2	1	1/2	1/2	1	1	-5	49	7
4	1.0	2	2	1/4	1/4	3/4	1	1	1/4	1/4	1		1	55	5
4	1.0	2	2	1/4	1/4	3/4	1	1	1/4	1/4	1		-2	58	5
4	1.0	2	2	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	5
5	0.75	2	2	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	-5	49	8
5	1.0	2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		1	55	6
5	1.0	2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	58	6
5	1.0	2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		-3	63	6
23/4	0.25	2	2	11/16	11/16	3/4	2	1	1/16	1/16	1		-3	51	9
6	2.0	3	3	0	0	3/4	2	1	1/2	1/2	1	1	-8	52	12
7	1.0	3	3	1/4	1/4	3/4	1	1	1/4	1/4	1		-2	58	10
7	1.0	3	3	1/4	1/4	3/4	1	1	1/4	1/4	1		-5	61	10
7	1.0	3	3	1/4	1/4	3/4	1	1	1/4	1/4	1		-4	68	10
8	0.75	3	3	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	-8	52	13
8	1.0	3	3	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	58	11
8	1.0	3	3	1/2	1/2	3/4	1	1	1/4	1/4	1		-5	61	11
8	1.0	3	3	1/2	1/2	3/4	1	1	1/4	1/4	1		-4	68	11
35/4	0.25	3	3	11/16	11/16	3/4	2	1	1/16	1/16	1		-5	49	14
9	2.0	4	4	0	0	3/4	2	1	1/2	1/2	1	1	-6	42	17
10	1.0	4	4	1/4	1/4	3/4	1	1	1/4	1/4	1		-2	58	15
10	1.0	4	4	1/4	1/4	3/4	1	1	1/4	1/4	1		-8	64	15
10	1.0	4	4	1/4	1/4	3/4	1	1	1/4	1/4	1		-4	68	15
11	0.75	4	4	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	-6	42	18
11	1.0	4	4	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	58	16
11	1.0	4	4	1/2	1/2	3/4	1	1	1/4	1/4	1		-3	63	16
11	1.0	4	4	1/2	1/2	3/4	1	1	1/4	1/4	1		-6	66	16
47/4	0.25	4	4	11/16	11/16	3/4	2	1	1/16	1/16	1		-4	44	19
12	2.0	5	5	0	0	3/4	2	1	1/2	1/2	1	1	-2	46	22
13	1.0	5	5	1/4	1/4	3/4	1	1	1/4	1/4	1		1	55	20
13	1.0	5	5	1/4	1/4	3/4	1	1	1/4	1/4	1		-5	61	20
13	1.0	5	5	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	20
14	0.75	5	5	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	-2	46	23
14	1.0	5	5	1/2	1/2	3/4	1	1	1/4	1/4	1		1	55	21
14	1.0	5	5	1/2	1/2	3/4	1	1	1/4	1/4	1		0	60	21
14	1.0	5	5	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	65	21
59/4	0.25	5	5	11/16	11/16	3/4	2	1	1/16	1/16	1		0	48	24
15	2.0	6	6	0	0	3/4	2	1	1/2	1/2	1	1	-5	49	27
16	1.0	6	6	1/4	1/4	3/4	1	1	1/4	1/4	1		1	55	25
16	1.0	6	6	1/4	1/4	3/4	1	1	1/4	1/4	1		-2	58	25
16	1.0	6	6	1/4	1/4	3/4	1	1	1/4	1/4	1		-1	65	25
17	0.75	6	6	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	-5	49	28
17	1.0	6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		1	55	26
17	1.0	6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	58	26
17	1.0	6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		-3	63	26
71/4	0.25	6	6	11/16	11/16	3/4	2	1	1/16	1/16	1		-3	51	29
18	2.0	7	7	0	0	3/4	2	1	1/2	1/2	1	1	4	52	31
19	2.0	7	7	1/4	1/4	3/4	1	1	1/2	1/2	1	1	3	57	30
19	2.0	7	7	1/4	1/4	3/4	1	1	1/2	1/2	1	1	0	60	30
19	2.0	7	7	1/4	1/4	3/4	1	1	1/2	1/2	1	1	1	67	30
20	0.75	7	7	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	4	52	32
83/4	0.25	7	7	11/16	11/16	3/4	2	1	1/16	1/16	1		3	45	33
21	2.0	8	8	0	0	3/4	2	1	1/2	1/2	1	1	2	38	36
21	3.0	8	8	0	0	3/4	1	2	3/4	1/2	3/2	0	3	57	35
21	3.0	8	8	0	0	3/4	1	2	3/4	1/2	3/2	0	0	60	35
21	3.0	8	8	0	0	3/4	1	2	3/4	1/2	3/2	0	1	67	35
22	2.0	8	8	1/4	1/4	3/4	1	1	1/2	1/2	1	1	5	71	34
23	0.75	8	8	1/2	1/2	3/4	2	1	3/16	1/8	3/2	-1	2	38	37
95/4	0.25	8	8	11/16	11/16	3/4	2	1	1/16	1/16	1		3	45	38
24	1.0	9	9	0	0	3/4	2	1	1/4	1/4	1		4	52	42
24	1.0	9	9	0	0	3/4	1	2	1/4	1/4	1	-1	3	57	41
24	1.0	9	9	0	0	3/4	1	2	1/4	1/4	1	-1	0	60	41
24	1.0	9	9	0	0	3/4	1	2	1/4	1/4	1	-1	1	67	41
24	2.0	9	9	0	0	3/4	1	1	1/2	1/2	1	-1	5	71	39
25	1.0	9	9	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	43
25	1.0	9	9	1/4	1/4	3/4	2	1	1/4	1/4	1		3	57	43
25	1.0	9	9	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	43
25	1.0	9	9	1/4	1/4	3/4	2	1	1/4	1/4	1		1	67	43
26	1.0	9	9	1/2	1/2	3/4	2	1	1/4	1/4	1	1	6	54	44
26	1.0	9	9	1/2	1/2	3/4	2	1	1/4	1/4	1	1	3	57	44
26	1.0	9	9	1/2	1/2	3/4	2	1	1/4	1/4	1	1	0	60	44
26	1.0	9	9	1/2	1/2	3/4	2	1	1/4	1/4	1	1	6	66	44
26	1.0	9	9	1/2	1/2	3/4	1	1	1/4	1/4	1		3	69	40
27	1.0	10	10	0	0	3/4	2	1	1/4	1/4	1	-1	6	54	48
27	1.0	10	10	0	0	3/4	2	1	1/4	1/4	1	-1	3	57	48
27	1.0	10	10	0	0	3/4	2	1	1/4	1/4	1	-1	0	60	48
27	1.0	10	10	0	0	3/4	2	1	1/4	1/4	1	-1	6	66	48
27	2.0	10	10	0	0	3/4	1	1	1/2	1/2	1	1	2	74	45
28	1.0	10	10	1/4	1/4	3/4	2	1	1/4	1/4	1		4	52	49
28	1.0	10	10	1/4	1/4	3/4	2	1	1/4	1/4	1		1	55	49
28	1.0	10	10	1/4	1/4	3/4	2	1	1/4	1/4	1		0	60	49
28	1.0	10	10	1/4	1/4	3/4	2	1	1/4	1/4	1		4	64	49
29	1.0	10	10	1/2	1/2	3/4	2	1	1/4	1/4	1		2	50	50
29	1.0	10	10	1/2	1/2	3/4	2	1	1/4	1/4	1		6	54	50
