quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	4.0	1	1	0	0	4/4	3	1	1		1	1		-4	32	5
0	1.0	1	1	0	0	4/4	2	1	1/4		1/4	1		-3	51	1
1	1.0	1	1	1/4	1/4	4/4	2	1	1/4		1/4	1		-4	56	2
2	1.0	1	1	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	3
2	2.0	1	1	1/2	1/2	4/4	1	1	1/2		1/2	1		-5	61	0
2	2.0	1	1	1/2	1/2	4/4	1	1	1/2		1/2	1		-3	63	0
3	1.0	1	1	3/4	3/4	4/4	2	1	1/4		1/4	1	1	-3	51	4
4	4.0	2	2	0	0	4/4	3	1	1		1	1	1	-4	32	13
4	1.0	2	2	0	0	4/4	2	1	1/4		1/4	1	-1	-3	51	9
5	1.0	2	2	1/4	1/4	4/4	2	1	1/4		1/4	1		-4	56	10
6	1.0	2	2	1/2	1/2	4/4	2	1	1/4		1/4	1		3	57	11
6	2.0	2	2	1/2	1/2	4/4	1	2	1/2		1/2	1		-5	61	8
6	2.0	2	2	1/2	1/2	4/4	1	2	1/2		1/2	1		-3	63	8
6	1.0	2	2	1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	6
7	1.0	2	2	3/4	3/4	4/4	2	1	1/4		1/4	1	1	-1	65	12
7	1.0	2	2	3/4	3/4	4/4	1	1	1/4		1/4	1	1	-1	77	7
8	4.0	3	3	0	0	4/4	3	1	1		1	1	0	-4	32	22
8	4.0	3	3	0	0	4/4	2	2	1		1	1		-5	61	21
8	4.0	3	3	0	0	4/4	2	2	1		1	1		-3	63	21
8	1.0	3	3	0	0	4/4	2	1	1/4		1/4	1	-1	-1	65	18
8	4.0	3	3	0	0	4/4	1	2	1		1	1		-5	73	17
8	4.0	3	3	0	0	4/4	1	2	1		1	1		-3	75	17
8	1.0	3	3	0	0	4/4	1	1	1/4		1/4	1	-1	-1	77	14
9	2.0	3	3	1/4	1/4	4/4	2	1	1/2		1/2	1		0	72	19
9	2.0	3	3	1/4	1/4	4/4	1	1	1/2		1/2	1		0	84	15
11	1.0	3	3	3/4	3/4	4/4	2	1	1/4		1/4	1		-1	65	20
11	1.0	3	3	3/4	3/4	4/4	1	1	1/4		1/4	1		-1	77	16
12	4.0	4	4	0	0	4/4	3	1	1		1	1	-1	-4	32	35
12	4.0	4	4	0	0	4/4	2	2	1		1	1		-2	58	32
12	4.0	4	4	0	0	4/4	2	2	1		1	1		-5	61	32
12	2.0	4	4	0	0	4/4	2	3	1/2		1/2	1		-3	63	33
12	1.0	4	4	0	0	4/4	2	1	1/4		1/4	1		-6	66	29
12	4.0	4	4	0	0	4/4	1	2	1		1	1		-5	73	26
12	1.0	4	4	0	0	4/4	1	1	1/4		1/4	1		-3	75	23
12	2.0	4	4	0	0	4/4	1	3	1/2		1/2	1		-3	75	27
13	2.0	4	4	1/4	1/4	4/4	2	1	1/2		1/2	1		0	72	30
13	2.0	4	4	1/4	1/4	4/4	1	1	1/2		1/2	1		0	84	24
14	2.0	4	4	1/2	1/2	4/4	2	3	1/2		1/2	1		4	64	34
14	2.0	4	4	1/2	1/2	4/4	1	3	1/2		1/2	1		4	76	28
15	1.0	4	4	3/4	3/4	4/4	2	1	1/4		1/4	1		1	67	31
15	1.0	4	4	3/4	3/4	4/4	1	1	1/4		1/4	1		1	79	25
16	4.0	5	5	0	0	4/4	3	1	1		1	1		-4	32	43
33/2	0.5	5	5	1/8	1/8	4/4	1	1	1/8		1/8	1	1	5	59	36
33/2	0.5	5	5	1/8	1/8	4/4	1	1	1/8		1/8	1	1	2	62	36
17	0.3333333333333333	5	5	1/4	1/4	4/4	1	1	1/12		1/8	2/3	-1	5	59	37
17	0.3333333333333333	5	5	1/4	1/4	4/4	1	1	1/12		1/8	2/3	-1	2	62	37
52/3	0.3333333333333333	5	5	1/3	1/3	4/4	1	1	1/12		1/8	2/3		7	61	38
52/3	0.3333333333333333	5	5	1/3	1/3	4/4	1	1	1/12		1/8	2/3		11	65	38
53/3	0.3333333333333333	5	5	5/12	5/12	4/4	1	1	1/12		1/8	2/3		2	62	39
53/3	0.3333333333333333	5	5	5/12	5/12	4/4	1	1	1/12		1/8	2/3		6	66	39
18	0.75	5	5	1/2	1/2	4/4	1	1	3/16		1/8	3/2		5	59	40
18	0.75	5	5	1/2	1/2	4/4	1	1	3/16		1/8	3/2		2	62	40
75/4	0.25	5	5	11/16	11/16	4/4	1	1	1/16		1/16	1		3	69	41
75/4	0.25	5	5	11/16	11/16	4/4	1	1	1/16		1/16	1		7	73	41
19	1.0	5	5	3/4	3/4	4/4	1	1	1/4		1/4	1	1	4	64	42
19	1.0	5	5	3/4	3/4	4/4	1	1	1/4		1/4	1	1	8	68	42
20	4.0	6	6	0	0	4/4	3	1	1		1	1		-4	32	57
20	0.25	6	6	0	0	4/4	1	1	1/16		1/16	1	-1	4	64	44
20	0.25	6	6	0	0	4/4	1	1	1/16		1/16	1	-1	8	68	44
81/4	0.25	6	6	1/16	1/16	4/4	1	1	1/16		1/16	1		2	74	45
81/4	0.25	6	6	1/16	1/16	4/4	1	1	1/16		1/16	1		6	78	45
41/2	0.25	6	6	1/8	1/8	4/4	1	1	1/16		1/16	1		5	71	46
41/2	0.25	6	6	1/8	1/8	4/4	1	1	1/16		1/16	1		2	74	46
83/4	0.25	6	6	3/16	3/16	4/4	1	1	1/16		1/16	1		1	67	47
83/4	0.25	6	6	3/16	3/16	4/4	1	1	1/16		1/16	1		5	71	47
21	0.25	6	6	1/4	1/4	4/4	1	1	1/16		1/16	1		-6	66	48
21	0.25	6	6	1/4	1/4	4/4	1	1	1/16		1/16	1		-2	70	48
85/4	0.25	6	6	5/16	5/16	4/4	1	1	1/16		1/16	1		-3	63	49
85/4	0.25	6	6	5/16	5/16	4/4	1	1	1/16		1/16	1		-6	66	49
43/2	0.25	6	6	3/8	3/8	4/4	1	1	1/16		1/16	1		0	60	50
43/2	0.25	6	6	3/8	3/8	4/4	1	1	1/16		1/16	1		4	64	50
87/4	0.25	6	6	7/16	7/16	4/4	1	1	1/16		1/16	1		1	55	51
87/4	0.25	6	6	7/16	7/16	4/4	1	1	1/16		1/16	1		5	59	51
22	2.0	6	6	1/2	1/2	4/4	1	1	1/2		1/2	1	1	-6	54	52
22	2.0	6	6	1/2	1/2	4/4	1	1	1/2		1/2	1	1	-2	58	52
45/2	0.5	6	6	5/8	5/8	4/4	2	1	1/8		1/8	1	1	2	50	53
23	0.3333333333333333	6	6	3/4	3/4	4/4	2	1	1/12		1/8	2/3	-1	2	50	54
70/3	0.3333333333333333	6	6	5/6	5/6	4/4	2	1	1/12		1/8	2/3		2	50	55
71/3	0.3333333333333333	6	6	11/12	11/12	4/4	2	1	1/12		1/8	2/3		2	50	56
24	4.0	7	7	0	0	4/4	3	1	1		1	1		-4	32	63
24	0.5	7	7	0	0	4/4	2	1	1/8		1/8	1		2	50	59
24	4.0	7	7	0	0	4/4	1	1	1		1	1	-1	-6	54	58
24	4.0	7	7	0	0	4/4	1	1	1		1	1	-1	-2	58	58
49/2	0.0	7	7	1/8	1/8	4/4	2	1	0	acciaccatura	1/8	1		-6	54	60
49/2	0.5	7	7	1/8	1/8	4/4	2	1	1/8		1/8	1		-1	53	61
25	3.0	7	7	1/4	1/4	4/4	2	1	3/4		1/2	3/2		2	50	62
28	4.0	8	8	0	0	4/4	3	1	1		1	1		-4	32	70
28	0.5	8	8	0	0	4/4	2	1	1/8		1/8	1		2	50	65
28	4.0	8	8	0	0	4/4	1	1	1		1	1		-4	56	64
28	4.0	8	8	0	0	4/4	1	1	1		1	1		5	59	64
57/2	0.0	8	8	1/8	1/8	4/4	2	1	0	acciaccatura	1/8	1		-6	54	66
57/2	0.5	8	8	1/8	1/8	4/4	2	1	1/8		1/8	1		-1	53	67
29	2.0	8	8	1/4	1/4	4/4	2	1	1/2		1/2	1		2	50	68
31	1.0	8	8	3/4	3/4	4/4	2	1	1/4		1/4	1		-1	53	69
32	4.0	9	9	0	0	4/4	3	1	1		1	1	1	-4	32	83
32	1.0	9	9	0	0	4/4	1	1	1/4		1/4	1	1	-4	68	71
32	1.0	9	9	0	0	4/4	1	1	1/4		1/4	1	1	0	72	71
32	1.0	9	9	0	0	4/4	1	1	1/4		1/4	1	1	-3	75	71
32	1.0	9	9	0	0	4/4	1	1	1/4		1/4	1	1	-4	80	71
33	2.0	9	9	1/4	1/4	4/4	2	1	1/2		1/2	1		-3	51	81
33	2.0	9	9	1/4	1/4	4/4	2	1	1/2		1/2	1		-4	56	81
33	2.0	9	9	1/4	1/4	4/4	2	1	1/2		1/2	1		0	60	81
33	2.0	9	9	1/4	1/4	4/4	2	1	1/2		1/2	1		-3	63	81
33	0.3333333333333333	9	9	1/4	1/4	4/4	1	1	1/12		1/8	2/3	-1	-4	68	72
33	0.3333333333333333	9	9	1/4	1/4	4/4	1	1	1/12		1/8	2/3	-1	0	72	72
33	0.3333333333333333	9	9	1/4	1/4	4/4	1	1	1/12		1/8	2/3	-1	-3	75	72
33	0.3333333333333333	9	9	1/4	1/4	4/4	1	1	1/12		1/8	2/3	-1	-4	80	72
100/3	0.3333333333333333	9	9	1/3	1/3	4/4	1	1	1/12		1/8	2/3		-4	68	73
100/3	0.3333333333333333	9	9	1/3	1/3	4/4	1	1	1/12		1/8	2/3		0	72	73
100/3	0.3333333333333333	9	9	1/3	1/3	4/4	1	1	1/12		1/8	2/3		-3	75	73
100/3	0.3333333333333333	9	9	1/3	1/3	4/4	1	1	1/12		1/8	2/3		-4	80	73
101/3	0.3333333333333333	9	9	5/12	5/12	4/4	1	1	1/12		1/8	2/3		-4	68	74
101/3	0.3333333333333333	9	9	5/12	5/12	4/4	1	1	1/12		1/8	2/3		0	72	74
101/3	0.3333333333333333	9	9	5/12	5/12	4/4	1	1	1/12		1/8	2/3		-3	75	74
101/3	0.3333333333333333	9	9	5/12	5/12	4/4	1	1	1/12		1/8	2/3		-4	80	74
34	0.3333333333333333	9	9	1/2	1/2	4/4	1	1	1/12		1/8	2/3		-4	68	75
34	0.3333333333333333	9	9	1/2	1/2	4/4	1	1	1/12		1/8	2/3		0	72	75
34	0.3333333333333333	9	9	1/2	1/2	4/4	1	1	1/12		1/8	2/3		-3	75	75
34	0.3333333333333333	9	9	1/2	1/2	4/4	1	1	1/12		1/8	2/3		-4	80	75
103/3	0.3333333333333333	9	9	7/12	7/12	4/4	1	1	1/12		1/8	2/3		-4	68	76
103/3	0.3333333333333333	9	9	7/12	7/12	4/4	1	1	1/12		1/8	2/3		0	72	76
103/3	0.3333333333333333	9	9	7/12	7/12	4/4	1	1	1/12		1/8	2/3		-3	75	76
103/3	0.3333333333333333	9	9	7/12	7/12	4/4	1	1	1/12		1/8	2/3		-4	80	76
104/3	0.3333333333333333	9	9	2/3	2/3	4/4	1	1	1/12		1/8	2/3		-4	68	77
104/3	0.3333333333333333	9	9	2/3	2/3	4/4	1	1	1/12		1/8	2/3		0	72	77
104/3	0.3333333333333333	9	9	2/3	2/3	4/4	1	1	1/12		1/8	2/3		-3	75	77
104/3	0.3333333333333333	9	9	2/3	2/3	4/4	1	1	1/12		1/8	2/3		-4	80	77
35	1.0	9	9	3/4	3/4	4/4	2	1	1/4		1/4	1		-3	51	82
35	1.0	9	9	3/4	3/4	4/4	2	1	1/4		1/4	1		-4	56	82
35	1.0	9	9	3/4	3/4	4/4	2	1	1/4		1/4	1		0	60	82
35	1.0	9	9	3/4	3/4	4/4	2	1	1/4		1/4	1		-3	63	82
35	0.3333333333333333	9	9	3/4	3/4	4/4	1	1	1/12		1/8	2/3		-4	68	78
35	0.3333333333333333	9	9	3/4	3/4	4/4	1	1	1/12		1/8	2/3		0	72	78
35	0.3333333333333333	9	9	3/4	3/4	4/4	1	1	1/12		1/8	2/3		-3	75	78
35	0.3333333333333333	9	9	3/4	3/4	4/4	1	1	1/12		1/8	2/3		-4	80	78
106/3	0.3333333333333333	9	9	5/6	5/6	4/4	1	1	1/12		1/8	2/3		-2	70	79
