mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	3/2	0.5	3/8	3/8	6/8	3	1	1/8		1/8	1		-5	49	Db3	3	3
1	1	3/2	0.5	3/8	3/8	6/8	3	2	1/8		1/8	1		-5	49	Db3	3	6
1	1	3/2	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		-3	51	Eb3	3	0
1	1	3/2	0.5	3/8	3/8	6/8	2	1	1/8		1/8	1		-2	58	Bb3	3	0
1	1	2	0.75	1/2	1/2	6/8	3	1	3/16		1/8	3/2		-2	46	Bb2	2	4
1	1	2	1.0	1/2	1/2	6/8	3	2	1/4		1/4	1	1	-2	46	Bb2	2	7
1	1	2	0.75	1/2	1/2	6/8	2	1	3/16		1/8	3/2		-6	54	Gb3	3	1
1	1	2	0.75	1/2	1/2	6/8	2	1	3/16		1/8	3/2		-5	61	Db4	4	1
1	1	11/4	0.25	11/16	11/16	6/8	3	1	1/16		1/16	1		-3	39	Eb2	2	5
1	1	11/4	0.25	11/16	11/16	6/8	2	1	1/16		1/16	1		1	55	G3	3	2
1	1	11/4	0.25	11/16	11/16	6/8	2	1	1/16		1/16	1		-1	65	F4	4	2
2	2	3	0.5	0	0	6/8	3	1	1/8		1/8	1		-2	34	Bb1	1	11
2	2	3	1.5	0	0	6/8	3	2	3/8		1/4	3/2	0	-2	46	Bb2	2	15
2	2	3	0.5	0	0	6/8	2	1	1/8		1/8	1		-6	54	Gb3	3	8
2	2	3	0.5	0	0	6/8	2	1	1/8		1/8	1		-5	61	Db4	4	8
2	2	7/2	0.75	1/8	1/8	6/8	3	1	3/16		1/8	3/2		-5	37	Db2	2	12
2	2	7/2	1.0	1/8	1/8	6/8	2	1	1/4		1/4	1	1	-3	51	Eb3	3	9
2	2	7/2	1.0	1/8	1/8	6/8	2	1	1/4		1/4	1	1	-2	58	Bb3	3	9
