mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	6/8	1	1	1/4		1/4	1		3	57	A3	3	0
1	1	1	0.5	1/4	1/4	6/8	1	2	1/8		1/8	1		3	57	A3	3	3
1	1	1	0.5	1/4	1/4	6/8	1	2	1/8		1/8	1		1	67	G4	4	3
1	1	3/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	1
1	1	2	0.5	1/2	1/2	6/8	1	2	1/8		1/8	1		3	57	A3	3	4
1	1	2	0.5	1/2	1/2	6/8	1	2	1/8		1/8	1		1	67	G4	4	4
1	1	5/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	2
2	2	3	1.0	0	0	6/8	1	1	1/4		1/4	1		3	57	A3	3	5
2	2	3	1.0	0	0	6/8	1	1	1/4		1/4	1		4	64	E4	4	5
2	2	4	0.5	1/4	1/4	6/8	1	2	1/8		1/8	1		3	57	A3	3	8
2	2	9/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	6
2	2	9/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	6
2	2	5	0.5	1/2	1/2	6/8	1	2	1/8		1/8	1		3	57	A3	3	9
2	2	11/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	7
2	2	11/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	7
3	3	6	0.5	0	0	6/8	1	2	1/8		1/8	1		3	57	A3	3	12
3	3	7	0.5	1/4	1/4	6/8	1	2	1/8		1/8	1		5	59	B3	3	13
3	3	15/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	10
3	3	15/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	10
3	3	8	0.5	1/2	1/2	6/8	1	2	1/8		1/8	1		2	62	D4	4	14
3	3	17/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	11
3	3	17/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	11
4	4	9	0.5	0	0	6/8	1	2	1/8		1/8	1		7	61	C#4	4	18
4	4	19/2	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	15
4	4	19/2	0.5	1/8	1/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	15
4	4	10	0.5	1/4	1/4	6/8	1	2	1/8		1/8	1		0	60	C4	4	19
4	4	21/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	16
4	4	21/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	16
4	4	11	0.5	1/2	1/2	6/8	1	2	1/8		1/8	1		2	62	D4	4	20
4	4	23/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	17
4	4	23/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	17
5	5	12	1.0	0	0	6/8	2	1	1/4		1/4	1		1	43	G2	2	25
5	5	12	1.0	0	0	6/8	2	1	1/4		1/4	1		2	50	D3	3	25
5	5	13	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		3	57	A3	3	21
5	5	13	0.5	1/4	1/4	6/8	1	1	1/8		1/8	1		4	64	E4	4	21
5	5	27/2	0.5	3/8	3/8	6/8	1	2	1/8		1/8	1		3	57	A3	3	23
5	5	14	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		3	57	A3	3	22
5	5	14	0.5	1/2	1/2	6/8	1	1	1/8		1/8	1		4	64	E4	4	22
5	5	29/2	0.5	5/8	5/8	6/8	1	2	1/8		1/8	1		3	57	A3	3	24
6	6	15	1.0	0	0	6/8	1	1	1/4		1/4	1		3	57	A3	3	26
6	6	15	1.0	0	0	6/8	1	1	1/4		1/4	1		4	64	E4	4	26
6	6	16	0.5	1/4	1/4	6/8	1	2	1/8		1/8	1		3	57	A3	3	29
6	6	33/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	27
6	6	33/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	27
6	6	17	0.5	1/2	1/2	6/8	1	2	1/8		1/8	1		3	57	A3	3	30
6	6	35/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	28
6	6	35/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	28
7	7	18	1.0	0	0	6/8	1	2	1/4		1/4	1		3	57	A3	3	33
7	7	19	0.5	1/4	1/4	6/8	1	2	1/8		1/8	1		5	59	B3	3	34
7	7	39/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	31
7	7	39/2	0.5	3/8	3/8	6/8	1	1	1/8		1/8	1		4	64	E4	4	31
7	7	20	0.5	1/2	1/2	6/8	1	2	1/8		1/8	1		2	62	D4	4	35
7	7	41/2	0.5	5/8	5/8	6/8	1	1	1/8		1/8	1		3	57	A3	3	32
