fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	typesetter	pdf	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
l000_etude	1: 4/4	1: -4, 7: 0, 9: -5, 38: 0, 42: -4, 48: -3, 57: -4, 64: 0, 66: -4	73	71	284.0	73	71	284.0	959.25	2473	1901	0	0	0	1915	1915	Claude Debussy	Etude Retrouve								2021-05-19		Microsoft Windows	http://musescore.com/user/33144689/scores/6884844		Étude Retrouvée			Claude Debussy	3.6.2	1.2.12	MS3	MS3/l000_etude.mscx	False	25-96 (Db1-C7)	https://musescore.com/user/33144689		Piano	32-96 (Ab1-C7)	Piano	25-91 (Db1-G6)		
l000_soirs	1: 4/4	1: -4	23	23	92.0	23	23	92.0	528.0	462	134	0	0	0	1917	1917	Claude Debussy									2021-07-02		Microsoft Windows	http://musescore.com/user/37796349/scores/6853240		Les soirs illuminés par l'ardeur du charbon 			Claude Debussy	3.6.2	1.2.12	MS3	MS3/l000_soirs.mscx	False	32-89 (Ab1-F6)	https://musescore.com/sansenk		Piano	54-89 (Gb3-F6)	Piano	50-77 (D3-F5)	Piano	32-39 (Ab1-Eb2)
l009_danse	1: 2/4	1: 2, 45: 5, 61: 2	92	92	184.0	92	92	184.0	586.5	1194	486	0	0	0	1880	1880	Claude Debussy	Danse Bohemian							Public Domain Work 	2021-10-08		Microsoft Windows	http://musescore.com/user/35830795/scores/7275327		Danse Bohémienne			"Claude Debussy
(1880)"	3.6.2	1.2.12	MS3	MS3/l009_danse.mscx	False	35-94 (B1-A#6)	https://musescore.com/yazen23434/		Piano	49-94 (C#3-A#6)	Piano	35-71 (B1-B4)		
l067_mazurka	1: 3/4	1: 3, 54: 2, 111: 3	138	138	414.0	138	138	414.0	1436.5	1187	645	0	0	0	1890	1890	Claude Debussy	Mazurka								2019-09-03	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5699433		Mazurka			Claude Debussy	3.6.2	1.2.12	MS3	MS3/l067_mazurka.mscx	False	28-91 (E1-G6)	https://musescore.com/user/4887176		Piano	50-91 (D3-G6)	Piano	28-74 (E1-D5)		
l068_reverie	1: 4/4, 75: 3/4, 76: 4/4	1: -1, 59: 4, 69: 0, 76: -1	101	101	403.0	101	101	403.0	1286.0	1253	723	0	0	0	1890	1890	Claude Debussy	Reverie								2016-10-09		Microsoft Windows	http://musescore.com/user/24069/scores/2749626		Rêverie			Claude Debussy	3.6.2	1.2.12	MS3	MS3/l068_reverie.mscx	False	26-93 (D1-A6)	https://musescore.com/hmscomp		Piano	53-93 (F3-A6)	Piano	26-79 (D1-G5)		
l069_tarentelle	1: 6/8, 325: 3/4, 329: 6/8	1: 4, 96: -3, 112: 4, 179: 1, 271: 4	333	333	999.0	333	333	999.0	3643.5	3997	1675	0	0	0	1890	1890	Claude Debussy								Domaine Public J. Jobert 1923 (J.J. 209)	2022-01-26	3.02	Linux	https://musescore.com/user/56409/scores/263276#comments		"<font face=""Times New Roman""/>Danse"	"<font face=""Times New Roman""/>Tarentelle Styrienne"		"<font face=""Times New Roman""/>Claude Debussy 1890. Edition revue par Maurice Ravel"	3.6.2	1.2.12	MS3	MS3/l069_tarentelle.mscx	False	28-95 (E1-B6)	https://musescore.com/user/56409		Piano	51-95 (Eb3-B6)	Piano	28-87 (E1-D#6)		
l070_ballade	1: 4/4	1: -1, 63: 4, 86: 0, 88: -1	105	105	420.0	105	105	420.0	2146.08	3070	1617	0	0	0	1890	1890	Claude Debussy	Ballade								2019-10-23	3.02	Microsoft Windows	http://musescore.com/user/3797871/scores/5825949		Ballade			"CRAUDE DEBUSSY

"	3.6.2	1.2.12	MS3	MS3/l070_ballade.mscx	False	29-93 (F1-A6)	https://musescore.com/user/3797871		Piano	40-93 (E2-A6)	Piano	29-88 (F1-E6)		
l071_valse	1: 3/4	1: -4, 119: -1	151	151	453.0	151	151	453.0	1532.83	1614	828	0	0	0	1890	1890	Claude Debussy	Valse romantique								2019-08-31	3.02	Apple Macintosh	http://musescore.com/user/4887176/scores/5696215		Valse romantique			Claude Debussy	3.6.2	1.2.12	MS3	MS3/l071_valse.mscx	False	25-93 (Db1-A6)	https://musescore.com/user/4887176		Piano	50-93 (D3-A6)	Piano	25-88 (Db1-E6)		
l082_nocturne	1: 4/4, 32: 7/4, 47: 4/4	1: -5, 28: 3, 32: -1, 55: -5	77	77	355.0	77	77	355.0	1625.42	2156	1046	0	0	0	1892	1892	Claude Debussy	Nocturne 								2018-09-08	3.02	Microsoft Windows	http://musescore.com/user/22164946/scores/6672848		Nocturne 	for Piano		Claude Debussy	3.6.2	1.2.12	MS3	MS3/l082_nocturne.mscx	False	24-93 (C1-Bbb6)	https://musescore.com/justisb		Pianinas	45-93 (A2-Bbb6)	Pianinas	24-85 (C1-Db6)		
l099_cahier	1: 6/8, 10: 9/8, 11: 6/8, 47: 6/4, 50: 9/4, 51: 6/4	1: -5, 43: 0, 47: -5	55	55	202.0	55	55	202.0	1136.52	1268	452	0	0	0	1903	1903	Claude DEBUSSY.	...D'un Cahier d'Esquisses.								2022-02-04		Microsoft Windows			...D'un Cahier d'Esquisses.			Claude DEBUSSY.	3.6.2	1.2.12	MS3	MS3/l099_cahier.mscx	False	25-94 (Db1-Bb6)	tunescribers.com		Piano	48-94 (C3-Bb6)	Piano	44-78 (Ab2-Gb5)	Piano	25-69 (Db1-Bbb4)
l105_masques	1: 6/8	1: 0, 96: 7, 122: 0, 148: -6, 216: 0	381	381	1143.0	381	381	1143.0	4680.0	3727	1769	0	0	0	1904	1904	Claude Debussy	Masques							D. & F. 6443	2022-02-03		Microsoft Windows			Masques				3.6.2	1.2.12	MS3	MS3/l105_masques.mscx	False	25-91 (Db1-G6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/102814	Piano	40-91 (E2-G6)	Piano	25-87 (Db1-Eb6)		
